date,Airport,temp,tmin,tmax,prcp,wspd
2023-07-07,JFK,25.3,23.3,28.9,0.0,10.4
2023-07-08,JFK,25.3,22.8,28.9,0.0,10.8
2023-07-09,JFK,24.9,23.3,27.2,13.5,16.2
2023-07-10,JFK,25.3,21.7,30.6,0.0,15.8
2023-07-11,JFK,25.9,21.1,30.0,0.0,16.9
2023-07-12,JFK,27.0,22.2,32.2,0.0,15.8
2023-07-13,JFK,26.0,22.2,29.4,0.0,23.4
2023-07-14,JFK,25.2,21.7,28.9,3.0,16.9
2023-07-15,JFK,25.4,22.2,30.0,0.0,13.7
2023-07-16,JFK,25.2,23.3,27.2,11.4,15.1
2023-07-17,JFK,25.8,23.3,31.1,0.0,15.1
2023-07-18,JFK,24.8,21.1,28.3,35.3,14.4
2023-07-19,JFK,23.6,21.1,25.6,3.0,8.6
2023-07-20,JFK,24.4,21.1,28.9,0.0,11.9
2023-07-21,JFK,24.8,22.8,28.3,1.0,17.3
2023-07-22,JFK,25.3,21.1,30.0,0.0,14.4
2023-07-23,JFK,25.2,20.0,30.0,0.0,15.5
2023-07-24,JFK,24.8,21.7,28.3,0.0,16.6
2023-07-25,JFK,24.2,20.6,28.9,6.1,11.9
2023-07-26,JFK,24.0,20.0,28.9,0.0,17.3
2023-07-27,JFK,26.4,22.8,33.3,0.5,19.8
2023-07-28,JFK,28.2,24.4,32.8,1.0,11.9
2023-07-29,JFK,27.3,21.1,32.2,16.3,23.0
2023-07-30,JFK,23.3,18.9,27.2,0.0,20.2
2023-07-31,JFK,23.3,17.8,28.3,0.0,15.8
2023-08-01,JFK,22.8,18.9,27.2,0.0,14.8
2023-08-02,JFK,21.5,16.7,25.6,0.0,13.7
2023-08-03,JFK,21.5,17.2,25.6,0.0,22.3
2023-08-04,JFK,22.2,21.1,24.4,0.0,21.6
2023-08-05,JFK,24.2,20.6,28.9,0.0,13.3
2023-08-06,JFK,24.5,19.4,27.2,0.0,14.8
2023-08-07,JFK,23.4,20.0,26.1,21.1,24.8
2023-08-08,JFK,23.6,21.7,27.8,0.8,24.5
2023-08-09,JFK,25.2,20.6,30.6,0.0,24.5
2023-08-10,JFK,23.2,20.6,25.6,16.8,11.2
2023-08-11,JFK,23.6,19.4,30.0,0.0,17.3
2023-08-12,JFK,23.7,18.9,27.2,3.8,16.9
2023-08-13,JFK,25.2,20.0,31.7,16.0,16.2
2023-08-14,JFK,25.2,20.6,28.3,0.0,12.2
2023-08-15,JFK,24.4,21.7,27.2,8.4,14.8
2023-08-16,JFK,23.1,20.6,27.2,10.2,11.2
2023-08-17,JFK,22.6,21.7,24.4,0.0,16.6
2023-08-18,JFK,24.0,20.0,28.3,7.9,21.6
2023-08-19,JFK,21.9,17.2,26.1,0.0,21.2
2023-08-20,JFK,23.2,17.2,27.8,0.0,15.1
2023-08-21,JFK,25.8,21.1,31.1,0.0,15.5
2023-08-22,JFK,24.0,18.9,26.1,0.0,18.7
2023-08-23,JFK,21.2,17.2,25.0,0.0,14.4
2023-08-24,JFK,21.1,20.0,22.8,0.5,19.4
2023-08-25,JFK,22.4,21.1,25.0,10.4,21.2
2023-08-26,JFK,23.8,20.6,30.0,2.8,9.7
2023-08-27,JFK,23.6,20.0,28.3,0.0,12.2
2023-08-28,JFK,21.4,19.4,23.3,0.0,12.2
2023-08-29,JFK,22.0,19.4,27.2,0.0,9.7
2023-08-30,JFK,23.7,20.0,29.4,3.3,15.8
2023-08-31,JFK,21.6,17.2,25.0,0.0,22.3
2023-09-01,JFK,19.6,15.0,24.4,0.0,13.3
2023-09-02,JFK,19.3,15.6,23.9,0.0,18.7
2023-09-03,JFK,23.6,18.3,32.2,0.0,14.8
2023-09-04,JFK,26.0,21.1,31.7,0.0,7.6
2023-09-05,JFK,27.8,23.3,33.9,0.0,11.2
2023-09-06,JFK,27.8,23.3,33.9,0.0,8.6
2023-09-07,JFK,27.4,22.8,33.3,0.0,13.7
2023-09-08,JFK,25.4,22.8,30.0,0.3,10.8
2023-09-09,JFK,25.4,22.8,28.9,0.0,11.2
2023-09-10,JFK,23.6,20.6,26.7,28.2,10.4
2023-09-11,JFK,23.7,21.1,27.8,10.2,8.6
2023-09-12,JFK,23.0,20.6,27.2,0.0,11.2
2023-09-13,JFK,23.7,21.1,26.1,0.5,15.5
2023-09-14,JFK,22.2,17.2,26.7,0.0,20.9
2023-09-15,JFK,18.0,14.4,21.7,0.0,25.6
2023-09-16,JFK,19.5,16.1,25.6,0.0,22.0
2023-09-17,JFK,19.8,13.3,22.8,0.0,12.2
2023-09-18,JFK,19.4,16.7,21.7,17.8,13.7
2023-09-19,JFK,18.8,15.0,24.4,0.0,19.1
2023-09-20,JFK,19.6,13.3,24.4,0.0,14.0
2023-09-21,JFK,18.7,13.9,23.3,0.0,11.5
2023-09-22,JFK,17.6,13.9,22.8,0.0,21.2
2023-09-23,JFK,15.9,14.4,17.2,24.4,32.4
2023-09-24,JFK,17.0,16.7,18.3,14.2,26.3
2023-09-25,JFK,15.9,13.9,16.7,8.9,24.5
2023-09-26,JFK,14.9,11.7,16.1,0.3,18.4
2023-09-27,JFK,14.7,10.6,19.4,0.0,15.8
2023-09-28,JFK,15.2,12.2,19.4,15.7,15.8
2023-09-29,JFK,15.1,13.9,16.1,204.5,23.4
2023-09-30,JFK,15.3,13.3,20.0,5.6,19.4
2023-10-01,JFK,19.1,15.0,25.0,0.0,16.9
2023-10-02,JFK,20.6,16.1,25.6,0.0,13.0
2023-10-03,JFK,18.5,13.3,23.9,0.0,9.4
2023-10-04,JFK,20.3,16.1,25.6,0.0,9.7
2023-10-05,JFK,18.9,13.9,23.3,0.0,9.7
2023-10-06,JFK,19.3,17.8,22.2,0.0,13.0
2023-10-07,JFK,18.6,12.2,19.4,47.8,20.5
2023-10-08,JFK,13.2,10.0,16.1,0.0,29.2
2023-10-09,JFK,12.8,9.4,16.7,0.0,21.6
2023-10-10,JFK,14.1,10.6,17.8,0.0,10.8
2023-10-11,JFK,15.5,10.6,20.6,0.0,7.6
2023-10-12,JFK,15.4,10.6,20.0,0.0,7.9
2023-10-13,JFK,14.4,10.0,18.3,0.0,12.6
2023-10-14,JFK,11.6,10.0,12.8,20.3,13.3
2023-10-15,JFK,12.1,10.0,16.7,0.3,24.5
2023-10-16,JFK,12.8,8.3,18.9,0.0,17.3
2023-10-17,JFK,13.5,9.4,18.3,0.0,8.6
2023-10-18,JFK,14.2,10.0,18.3,0.0,7.9
2023-10-19,JFK,14.1,10.0,17.8,0.0,16.9
2023-10-20,JFK,16.3,15.6,17.8,17.0,19.4
2023-10-21,JFK,15.9,13.9,18.9,3.0,22.0
2023-10-22,JFK,13.2,8.3,16.1,0.0,31.7
2023-10-23,JFK,11.4,6.7,16.7,0.0,19.4
2023-10-24,JFK,11.6,6.1,17.2,0.0,12.2
2023-10-25,JFK,14.6,9.4,21.1,0.0,14.8
2023-10-26,JFK,16.3,11.1,23.3,0.0,10.8
2023-10-27,JFK,16.9,12.8,21.7,0.0,13.3
2023-10-28,JFK,20.1,14.4,27.2,0.0,16.2
2023-10-29,JFK,15.2,11.1,17.8,4.3,16.6
2023-10-30,JFK,13.7,10.0,16.7,10.2,16.9
2023-10-31,JFK,9.9,7.2,11.7,0.0,14.4
2023-11-01,JFK,7.7,3.3,10.0,0.5,21.6
2023-11-02,JFK,5.5,1.1,10.0,0.0,14.8
2023-11-03,JFK,8.6,3.9,12.8,0.0,19.4
2023-11-04,JFK,10.8,6.7,14.4,0.0,12.2
2023-11-05,JFK,12.4,6.1,18.3,0.0,9.7
2023-11-06,JFK,9.8,6.1,13.3,0.0,13.0
2023-11-07,JFK,13.7,11.7,17.2,0.3,17.6
2023-11-08,JFK,10.1,4.4,11.7,0.0,19.8
2023-11-09,JFK,9.7,3.3,15.0,0.0,10.8
2023-11-10,JFK,10.1,5.6,11.7,0.0,17.3
2023-11-11,JFK,8.6,3.9,13.3,0.0,17.3
2023-11-12,JFK,5.1,1.7,7.8,0.0,11.9
2023-11-13,JFK,4.1,-0.5,8.9,0.0,9.7
2023-11-14,JFK,8.6,3.9,12.8,0.0,21.6
2023-11-15,JFK,6.7,1.1,10.0,0.0,12.6
2023-11-16,JFK,10.4,5.0,16.7,0.0,13.0
2023-11-17,JFK,12.2,6.1,17.2,0.0,18.7
2023-11-18,JFK,12.5,4.4,15.0,0.0,22.7
2023-11-19,JFK,7.6,3.3,12.8,0.0,19.1
2023-11-20,JFK,5.7,1.1,7.8,0.0,15.5
2023-11-21,JFK,4.1,0.0,8.9,11.7,25.2
2023-11-22,JFK,10.9,8.9,15.0,18.8,21.2
2023-11-23,JFK,9.7,7.2,11.7,0.0,23.0
2023-11-24,JFK,8.4,0.0,11.1,0.0,24.1
2023-11-25,JFK,1.4,-2.7,5.0,0.0,10.4
2023-11-26,JFK,3.6,-1.6,12.8,8.6,19.1
2023-11-27,JFK,9.6,2.8,12.8,0.5,25.9
2023-11-28,JFK,2.6,-0.5,5.0,0.0,28.4
2023-11-29,JFK,-0.2,-3.2,2.2,0.0,23.0
2023-11-30,JFK,4.0,0.0,9.4,0.0,17.6
2023-12-01,JFK,6.4,1.7,8.9,14.0,11.2
2023-12-02,JFK,8.6,7.2,11.1,0.0,10.8
2023-12-03,JFK,9.0,6.7,10.0,18.8,15.5
2023-12-04,JFK,8.2,5.6,11.1,0.0,19.4
2023-12-05,JFK,5.4,2.8,6.7,0.0,15.1
2023-12-06,JFK,3.4,0.6,5.6,0.0,20.2
2023-12-07,JFK,1.6,-0.5,3.9,0.0,19.1
2023-12-08,JFK,4.1,-1.0,8.9,0.0,9.4
2023-12-09,JFK,7.6,1.7,12.8,0.0,9.4
2023-12-10,JFK,10.3,6.1,13.9,60.5,24.5
2023-12-11,JFK,7.4,2.2,11.7,15.0,30.6
2023-12-12,JFK,3.7,0.6,6.1,0.0,22.0
2023-12-13,JFK,5.1,2.2,7.8,0.0,21.6
2023-12-14,JFK,2.3,-0.5,8.3,0.0,18.7
2023-12-15,JFK,5.9,1.1,13.3,0.0,18.7
2023-12-16,JFK,8.5,3.3,12.8,0.0,13.7
2023-12-17,JFK,9.4,8.3,13.3,3.0,22.7
2023-12-18,JFK,12.1,5.6,15.0,37.3,37.1
2023-12-19,JFK,4.9,0.0,6.7,0.0,27.4
2023-12-20,JFK,1.6,-1.6,6.7,0.0,20.5
2023-12-21,JFK,2.9,-1.6,5.6,0.0,22.0
2023-12-22,JFK,-0.7,-3.8,4.4,0.0,7.2
2023-12-23,JFK,1.7,-2.1,6.1,0.0,9.0
2023-12-24,JFK,5.8,4.4,8.9,0.5,4.7
2023-12-25,JFK,6.4,3.9,9.4,0.0,6.8
2023-12-26,JFK,6.2,3.9,7.2,0.0,5.8
2023-12-27,JFK,6.2,4.4,9.4,4.8,10.8
2023-12-28,JFK,10.2,8.3,12.2,39.4,16.9
2023-12-29,JFK,9.3,7.2,11.7,0.5,14.4
2023-12-30,JFK,6.6,3.3,8.3,0.0,23.4
2023-12-31,JFK,5.1,3.3,6.1,0.0,19.4
2024-01-01,JFK,5.5,1.7,8.3,0.0,10.8
2024-01-02,JFK,2.1,-2.1,5.6,0.0,15.8
2024-01-03,JFK,3.7,0.6,7.2,0.0,13.7
2024-01-04,JFK,4.6,-2.1,7.8,0.0,23.0
2024-01-05,JFK,-0.4,-3.2,3.3,0.0,21.2
2024-01-06,JFK,0.6,-2.7,3.9,13.7,18.0
2024-01-07,JFK,2.8,1.7,3.9,7.1,25.2
2024-01-08,JFK,3.7,0.0,7.2,0.0,19.8
2024-01-09,JFK,2.9,-2.1,12.2,40.4,26.6
2024-01-10,JFK,9.9,6.1,12.2,7.1,36.4
2024-01-11,JFK,6.4,3.9,7.8,0.0,23.8
2024-01-12,JFK,5.6,1.1,8.9,1.5,18.4
2024-01-13,JFK,9.4,1.7,13.3,28.7,36.7
2024-01-14,JFK,2.6,-3.2,6.7,0.0,34.6
2024-01-15,JFK,-2.8,-4.9,-1.6,1.5,15.1
2024-01-16,JFK,-2.1,-5.5,0.0,9.1,23.0
2024-01-17,JFK,-5.7,-7.7,-4.3,0.0,29.2
2024-01-18,JFK,-3.5,-5.5,0.6,0.0,18.4
2024-01-19,JFK,-1.1,-3.8,0.6,0.3,17.6
2024-01-20,JFK,-5.2,-7.7,-3.2,0.0,33.5
2024-01-21,JFK,-4.8,-7.1,0.0,0.0,28.8
2024-01-22,JFK,-2.1,-5.5,2.2,0.0,20.2
2024-01-23,JFK,2.0,0.0,4.4,0.3,12.2
2024-01-24,JFK,4.1,2.2,7.2,2.3,8.6
2024-01-25,JFK,8.4,6.1,12.8,6.9,9.7
2024-01-26,JFK,7.1,5.0,7.8,5.3,13.0
2024-01-27,JFK,6.1,5.0,8.9,0.0,8.6
2024-01-28,JFK,4.4,2.8,5.0,23.4,22.0
2024-01-29,JFK,2.9,1.7,4.4,0.8,25.6
2024-01-30,JFK,2.2,1.1,3.3,0.0,12.6
2024-01-31,JFK,2.3,1.1,3.9,0.0,11.5
2024-02-01,JFK,3.4,0.0,6.7,0.0,11.9
2024-02-02,JFK,5.1,2.8,5.6,4.8,13.7
2024-02-03,JFK,2.8,0.0,6.1,0.0,22.7
2024-02-04,JFK,2.7,-1.0,7.8,0.0,17.3
2024-02-05,JFK,2.9,-1.0,7.2,0.0,20.5
2024-02-06,JFK,1.2,-2.7,5.6,0.0,16.9
2024-02-07,JFK,2.8,-1.6,8.9,0.0,11.2
2024-02-08,JFK,4.3,0.0,8.9,0.0,9.4
2024-02-09,JFK,6.2,3.3,9.4,0.0,15.8
2024-02-10,JFK,6.6,2.2,12.8,0.0,10.8
2024-02-11,JFK,8.8,6.1,10.6,0.0,15.5
2024-02-12,JFK,5.3,2.2,7.8,0.0,10.8
2024-02-13,JFK,2.3,0.0,3.9,16.5,23.4
2024-02-14,JFK,1.1,-2.1,3.3,0.0,37.4
2024-02-15,JFK,-0.8,-3.2,2.2,0.0,20.2
2024-02-16,JFK,3.1,1.1,6.1,0.0,24.5
2024-02-17,JFK,0.4,-3.2,2.2,8.4,18.4
2024-02-18,JFK,-0.9,-3.8,4.4,0.0,28.1
2024-02-19,JFK,2.2,-1.6,5.0,0.0,17.3
2024-02-20,JFK,-0.4,-3.8,2.2,0.0,12.2
2024-02-21,JFK,-0.2,-4.3,3.9,0.0,12.2
2024-02-22,JFK,2.6,0.6,5.0,1.3,13.7
2024-02-23,JFK,6.2,4.4,8.9,1.3,11.9
2024-02-24,JFK,5.7,-2.1,7.2,0.0,22.7
2024-02-25,JFK,-1.3,-6.0,2.2,0.0,16.9
2024-02-26,JFK,3.5,0.0,8.9,0.0,14.0
2024-02-27,JFK,6.0,1.1,11.1,8.4,20.2
2024-02-28,JFK,9.1,6.7,13.3,2.0,35.3
2024-02-29,JFK,3.9,-0.5,6.7,0.0,30.6
2024-03-01,JFK,1.9,-2.1,5.0,0.0,16.9
2024-03-02,JFK,6.8,5.0,11.7,36.8,18.0
2024-03-03,JFK,11.7,8.3,20.0,0.0,16.6
2024-03-04,JFK,10.1,5.6,12.8,0.0,16.9
2024-03-05,JFK,6.9,5.6,8.9,10.7,17.6
2024-03-06,JFK,8.0,7.2,10.6,47.8,11.5
2024-03-07,JFK,10.1,6.7,12.8,3.8,25.6
2024-03-08,JFK,7.4,3.9,18.9,0.0,16.9
2024-03-09,JFK,5.6,4.4,9.4,43.2,27.7
2024-03-10,JFK,7.8,2.8,11.7,0.8,31.3
2024-03-11,JFK,5.9,1.7,11.7,0.0,42.8
2024-03-12,JFK,11.0,5.0,19.4,0.0,21.6
2024-03-13,JFK,10.6,5.0,13.9,0.0,9.7
2024-03-14,JFK,9.9,5.0,18.9,0.0,9.7
2024-03-15,JFK,14.2,9.4,22.2,0.0,18.0
2024-03-16,JFK,10.5,6.1,12.8,0.0,18.0
2024-03-17,JFK,11.7,8.3,17.2,0.0,22.0
2024-03-18,JFK,9.3,3.3,11.7,0.0,23.8
2024-03-19,JFK,4.9,1.7,8.9,0.0,26.3
2024-03-20,JFK,7.3,1.1,11.7,0.8,23.8
2024-03-21,JFK,2.6,-1.0,6.7,0.0,31.0
2024-03-22,JFK,1.2,-2.1,5.0,0.0,15.5
2024-03-23,JFK,7.2,1.7,11.1,79.5,27.0
2024-03-24,JFK,3.6,-0.5,7.8,0.0,25.6
2024-03-25,JFK,5.1,1.1,11.1,0.0,20.5
2024-03-26,JFK,6.3,3.3,9.4,0.0,16.2
2024-03-27,JFK,6.7,4.4,10.0,2.8,8.6
2024-03-28,JFK,8.6,6.7,9.4,24.4,16.6
2024-03-29,JFK,8.6,5.6,13.9,0.0,32.0
2024-03-30,JFK,9.1,5.0,16.1,0.5,26.6
2024-03-31,JFK,12.1,7.2,16.7,0.0,17.3
2024-04-01,JFK,10.4,6.7,11.7,0.3,7.2
2024-04-02,JFK,7.8,5.6,8.9,25.9,16.2
2024-04-03,JFK,6.2,5.0,7.2,31.0,36.7
2024-04-04,JFK,6.1,2.8,11.1,5.3,22.7
2024-04-05,JFK,6.8,3.3,10.0,0.0,24.5
2024-04-06,JFK,8.0,5.6,12.8,0.0,28.4
2024-04-07,JFK,9.1,5.0,14.4,0.0,21.2
2024-04-08,JFK,9.7,4.4,17.2,0.0,11.2
2024-04-09,JFK,13.6,7.2,20.6,0.0,12.2
2024-04-10,JFK,12.3,10.0,20.6,0.0,14.0
2024-04-11,JFK,11.7,10.0,15.0,1.3,22.3
2024-04-12,JFK,13.6,11.7,17.2,5.1,34.2
2024-04-13,JFK,11.7,8.3,12.8,0.0,36.0
2024-04-14,JFK,12.2,6.1,18.3,0.3,24.8
2024-04-15,JFK,16.9,11.1,25.0,0.0,16.9
2024-04-16,JFK,15.9,10.0,22.2,0.0,18.0
2024-04-17,JFK,11.4,7.8,13.9,1.5,16.9
2024-04-18,JFK,8.8,7.2,9.4,3.0,20.5
2024-04-19,JFK,9.1,6.7,12.8,0.0,15.5
2024-04-20,JFK,11.4,8.3,19.4,4.3,19.1
2024-04-21,JFK,9.6,5.0,11.7,0.0,17.3
2024-04-22,JFK,10.3,5.6,16.7,0.0,16.6
2024-04-23,JFK,9.8,5.0,13.9,0.0,17.3
2024-04-24,JFK,12.8,9.4,20.0,0.5,23.4
2024-04-25,JFK,10.1,5.6,11.7,0.0,16.6
2024-04-26,JFK,8.3,2.8,12.8,0.0,13.7
2024-04-27,JFK,9.2,5.6,13.3,0.0,18.4
2024-04-28,JFK,13.2,10.0,20.0,0.8,11.5
2024-04-29,JFK,19.7,14.4,27.8,0.0,14.8
2024-04-30,JFK,15.3,11.1,19.4,0.0,15.8
2024-05-01,JFK,14.2,10.6,21.7,0.0,13.3
2024-05-02,JFK,13.4,10.0,18.9,0.0,14.0
2024-05-03,JFK,14.4,9.4,17.2,0.0,13.3
2024-05-04,JFK,11.7,8.9,16.1,0.0,15.5
2024-05-05,JFK,10.3,9.4,12.2,5.6,16.6
2024-05-06,JFK,14.8,12.2,21.7,1.3,9.4
2024-05-07,JFK,18.6,13.9,25.0,0.0,14.0
2024-05-08,JFK,18.2,14.4,26.7,1.5,18.0
2024-05-09,JFK,20.2,12.2,21.7,0.0,16.9
2024-05-10,JFK,11.7,9.4,12.8,7.4,16.6
2024-05-11,JFK,11.2,8.3,15.6,0.0,18.0
2024-05-12,JFK,10.7,9.4,12.8,1.3,14.4
2024-05-13,JFK,12.3,8.9,17.8,0.0,17.3
2024-05-14,JFK,15.2,11.7,19.4,0.3,15.5
2024-05-15,JFK,15.7,14.4,18.9,6.6,18.4
2024-05-16,JFK,16.4,15.0,20.0,1.8,31.3
2024-05-17,JFK,18.1,14.4,22.8,0.0,15.5
2024-05-18,JFK,17.2,15.0,21.7,0.8,9.7
2024-05-19,JFK,17.5,11.7,23.3,0.0,14.8
2024-05-20,JFK,15.3,11.7,20.0,0.0,10.8
2024-05-21,JFK,17.1,13.3,22.2,0.0,11.9
2024-05-22,JFK,19.7,15.6,24.4,0.0,18.0
2024-05-23,JFK,20.2,16.7,26.1,14.0,11.9
2024-05-24,JFK,22.9,15.0,29.4,0.0,13.7
2024-05-25,JFK,20.8,15.6,25.0,0.0,10.8
2024-05-26,JFK,19.7,17.2,24.4,0.0,11.5
2024-05-27,JFK,19.9,18.3,24.4,14.7,19.4
2024-05-28,JFK,22.1,17.2,27.8,0.0,19.8
2024-05-29,JFK,21.2,16.7,24.4,7.9,16.6
2024-05-30,JFK,18.4,14.4,22.8,3.6,17.6
2024-05-31,JFK,20.0,15.6,25.6,0.0,19.4
2024-06-01,JFK,22.4,16.7,27.8,0.0,16.9
2024-06-02,JFK,21.4,16.7,26.1,0.0,14.0
2024-06-03,JFK,23.1,18.9,28.9,0.5,9.7
2024-06-04,JFK,21.3,17.8,25.6,0.0,11.2
2024-06-05,JFK,20.9,17.2,25.6,1.0,13.7
2024-06-06,JFK,23.2,20.6,28.9,14.7,14.0
2024-06-07,JFK,24.4,19.4,28.3,0.0,15.5
2024-06-08,JFK,22.9,18.3,27.2,0.0,22.3
2024-06-09,JFK,21.9,18.3,25.6,0.0,20.9
2024-06-10,JFK,21.3,17.2,25.0,0.0,20.2
2024-06-11,JFK,19.7,15.6,22.2,0.0,13.3
2024-06-12,JFK,20.2,16.7,23.3,0.0,15.5
2024-06-13,JFK,21.1,17.2,25.6,0.0,16.2
2024-06-14,JFK,22.1,18.9,25.6,21.6,13.3
2024-06-15,JFK,23.0,18.3,28.3,0.0,17.3
2024-06-16,JFK,21.2,17.2,26.7,0.0,15.1
2024-06-17,JFK,21.7,17.8,26.7,0.0,20.9
2024-06-18,JFK,23.2,20.6,26.7,0.0,21.2
2024-06-19,JFK,23.5,19.4,27.8,0.0,19.1
2024-06-20,JFK,23.9,20.0,28.9,0.0,17.6
2024-06-21,JFK,25.7,20.0,32.8,0.0,18.0
2024-06-22,JFK,25.7,22.2,30.6,1.0,10.8
2024-06-23,JFK,24.2,21.1,29.4,0.0,20.2
2024-06-24,JFK,25.2,20.6,29.4,0.0,29.9
2024-06-25,JFK,26.2,21.7,32.8,0.0,22.3
2024-06-26,JFK,24.0,20.0,28.9,6.6,19.1
2024-06-27,JFK,24.3,21.1,30.6,14.5,19.4
2024-06-28,JFK,21.8,17.2,26.7,0.0,15.1
2024-06-29,JFK,21.6,17.8,26.7,0.5,22.0
2024-06-30,JFK,23.0,21.1,28.3,14.5,16.2
2024-07-01,JFK,23.3,17.8,27.8,0.0,24.8
2024-07-02,JFK,23.6,18.3,27.8,0.0,12.6
2024-07-03,JFK,22.3,17.8,26.7,0.0,16.2
2024-07-04,JFK,22.9,20.0,27.8,1.8,15.8
2024-07-05,JFK,24.3,21.7,28.3,0.8,12.2
2024-07-06,JFK,23.9,21.1,27.2,0.3,15.1
2024-07-07,JFK,26.4,22.8,30.6,0.0,9.4
2024-07-08,JFK,26.4,22.2,31.1,0.0,9.4
2024-07-09,JFK,24.2,22.2,27.8,0.0,15.5
2024-07-10,JFK,25.7,23.3,28.9,0.0,29.2
2024-07-11,JFK,25.9,22.2,31.1,0.3,21.6
2024-07-12,JFK,24.9,22.2,27.8,3.3,13.7
