Passenger_ID,Flight_ID,Price_USD,Travel_Purpose,Seat_Class,Bags_Checked,Check_in_Method,Seat_Selected,Booking_Days_In_Advance,No_Show,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Departure_Date,Departure_Hour,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Delay_Minutes,Weather_Impact,date,Airport,temp,tmin,tmax,prcp,wspd,Route
P11,F960,218.26,Business,Business,1,Mobile App,Middle,87,0,United,SEA,SFO,2024-04-29 10:38:00,2024-04-29,10:38:00,245,On-time,818,4,0,2024-04-29,SEA,7.4,3.9,12.2,5.8,11.9,SEA-SFO
P12,F170,338.0,Business,Premium Economy,1,Online,Middle,9,0,JetBlue,DFW,ATL,2023-06-20 14:41:00,2023-06-20,14:41:00,101,On-time,1148,7,0,2023-06-20,DFW,31.5,27.2,36.7,0.0,16.8,DFW-ATL
P13,F1171,388.83,Emergency,Economy,0,Desk,Window,115,0,American Airlines,DFW,ORD,2024-02-28 01:57:00,2024-02-28,01:57:00,108,Delayed,1167,13,0,2024-02-28,DFW,8.0,4.4,22.8,0.0,29.1,DFW-ORD
P14,F1788,276.14,Business,Economy,0,Desk,Window,13,0,United,DEN,JFK,2024-09-18 07:37:00,2024-09-18,07:37:00,237,On-time,1544,3,0,2024-09-18,DEN,18.3,8.3,29.4,0.0,10.8,DEN-JFK
P15,F377,359.22,Business,Business,0,Desk,Window,87,0,Southwest,JFK,DEN,2024-05-13 12:05:00,2024-05-13,12:05:00,188,On-time,596,8,0,2024-05-13,JFK,12.3,8.9,17.8,0.0,17.3,JFK-DEN
P16,F484,361.83,Business,Business,1,Mobile App,Middle,84,0,Southwest,SEA,SEA,2023-05-12 20:15:00,2023-05-12,20:15:00,228,On-time,1256,3,0,2023-05-12,SEA,17.9,11.1,27.8,0.0,12.6,SEA-SEA
P17,F1631,222.65,Emergency,Premium Economy,0,Online,Middle,76,0,JetBlue,DFW,ORD,2023-10-19 19:34:00,2023-10-19,19:34:00,85,On-time,1012,11,0,2023-10-19,DFW,22.0,14.4,30.6,0.0,11.0,DFW-ORD
P18,F170,439.21,Family,Premium Economy,0,Mobile App,Window,8,0,JetBlue,DFW,ATL,2023-06-20 14:41:00,2023-06-20,14:41:00,101,On-time,1148,7,0,2023-06-20,DFW,31.5,27.2,36.7,0.0,16.8,DFW-ATL
P19,F478,215.42,Emergency,Economy,0,Airport Kiosk,Aisle,88,0,JetBlue,DFW,SFO,2024-01-26 01:03:00,2024-01-26,01:03:00,167,Delayed,1240,4,0,2024-01-26,DFW,10.2,9.4,11.1,,14.2,DFW-SFO
P20,F362,496.54,Leisure,Economy,0,Mobile App,Aisle,24,0,JetBlue,ATL,JFK,2024-09-19 00:55:00,2024-09-19,00:55:00,83,On-time,1387,2,0,2024-09-19,ATL,24.8,20.0,31.7,0.0,5.8,ATL-JFK
P21,F1143,388.72,Emergency,Premium Economy,0,Mobile App,Middle,59,0,Southwest,ATL,LAX,2023-11-16 21:04:00,2023-11-16,21:04:00,248,On-time,1004,4,0,2023-11-16,ATL,15.7,12.2,21.1,0.0,17.6,ATL-LAX
P22,F39,271.2,Family,Economy,1,Airport Kiosk,Window,52,1,Delta,ORD,DEN,2023-08-24 21:38:00,2023-08-24,21:38:00,229,On-time,1278,9,1,2023-08-24,ORD,32.3,23.9,37.8,0.0,18.4,ORD-DEN
P23,F1663,248.89,Business,Economy,1,Mobile App,Window,10,0,American Airlines,SFO,SEA,2025-02-11 07:57:00,2025-02-11,07:57:00,87,On-time,902,3,0,2025-02-11,SFO,8.8,4.4,12.2,0.5,15.1,SFO-SEA
P24,F290,192.0,Leisure,Economy,2,Online,Window,66,0,JetBlue,LAX,SEA,2023-05-25 00:18:00,2023-05-25,00:18:00,256,Cancelled,1328,16,0,2023-05-25,LAX,16.3,15.0,18.3,0.3,14.0,LAX-SEA
P25,F888,243.87,Leisure,Economy,0,Online,Middle,92,0,JetBlue,ORD,JFK,2023-08-06 21:18:00,2023-08-06,21:18:00,238,On-time,959,6,0,2023-08-06,ORD,21.0,18.9,22.8,0.3,18.7,ORD-JFK
P26,F1447,406.52,Leisure,Economy,1,Online,Aisle,94,0,United,ORD,LAX,2024-05-26 10:14:00,2024-05-26,10:14:00,138,On-time,1397,6,0,2024-05-26,ORD,17.4,14.4,22.8,18.8,14.4,ORD-LAX
P27,F47,333.59,Leisure,Premium Economy,0,Online,Window,70,0,Delta,ATL,LAX,2025-02-06 21:23:00,2025-02-06,21:23:00,117,On-time,1059,14,0,2025-02-06,ATL,18.4,15.6,22.2,0.0,10.8,ATL-LAX
P28,F556,197.8,Business,Economy,3,Airport Kiosk,Window,24,0,United,SEA,SEA,2023-06-30 13:32:00,2023-06-30,13:32:00,169,On-time,1403,7,0,2023-06-30,SEA,20.3,14.4,26.1,0.0,12.2,SEA-SEA
P29,F427,219.61,Emergency,Economy,1,Desk,Aisle,64,0,American Airlines,SFO,DFW,2025-01-13 20:17:00,2025-01-13,20:17:00,192,On-time,1096,2,1,2025-01-13,SFO,12.4,7.8,16.1,0.0,18.4,SFO-DFW
P30,F939,420.26,Family,Economy,1,Mobile App,Middle,114,0,American Airlines,DEN,LAX,2023-06-06 21:53:00,2023-06-06,21:53:00,145,On-time,1272,11,0,2023-06-06,DEN,16.3,10.6,25.0,0.0,13.0,DEN-LAX
P31,F922,349.5,Leisure,Economy,1,Desk,Middle,45,0,Southwest,ORD,ATL,2023-12-11 09:10:00,2023-12-11,09:10:00,100,Cancelled,1615,7,0,2023-12-11,ORD,-0.7,-2.1,2.2,0.0,11.5,ORD-ATL
P32,F127,325.89,Business,Economy,1,Online,Window,63,0,JetBlue,DEN,JFK,2024-03-20 19:22:00,2024-03-20,19:22:00,224,On-time,875,2,0,2024-03-20,DEN,8.4,0.6,15.6,0.0,12.2,DEN-JFK
P33,F602,416.78,Leisure,Economy,1,Airport Kiosk,Window,109,0,United,SFO,LAX,2024-09-19 07:53:00,2024-09-19,07:53:00,241,Delayed,1188,0,0,2024-09-19,SFO,15.2,12.2,18.9,0.0,16.9,SFO-LAX
P34,F186,270.02,Family,Premium Economy,1,Online,Middle,7,0,American Airlines,LAX,ATL,2023-07-06 20:34:00,2023-07-06,20:34:00,115,On-time,1622,14,1,2023-07-06,LAX,17.4,15.6,21.1,0.0,11.9,LAX-ATL
P35,F699,403.37,Family,Economy,0,Desk,Middle,96,0,American Airlines,ORD,SFO,2024-01-09 11:27:00,2024-01-09,11:27:00,146,On-time,1435,0,0,2024-01-09,ORD,1.4,0.6,2.2,23.6,21.2,ORD-SFO
P36,F215,430.53,Family,Economy,1,Airport Kiosk,Middle,90,0,Delta,LAX,DFW,2024-01-30 02:16:00,2024-01-30,02:16:00,218,On-time,2558,7,0,2024-01-30,LAX,15.8,11.1,22.2,0.0,10.4,LAX-DFW
P37,F1221,284.82,Emergency,Economy,0,Airport Kiosk,Middle,43,0,American Airlines,DFW,JFK,2023-08-18 11:53:00,2023-08-18,11:53:00,262,Cancelled,1198,8,0,2023-08-18,DFW,36.0,28.3,42.8,0.0,13.8,DFW-JFK
P38,F117,292.8,Leisure,Economy,1,Mobile App,Middle,34,0,American Airlines,DFW,SFO,2023-08-14 12:46:00,2023-08-14,12:46:00,187,On-time,986,16,0,2023-08-14,DFW,33.1,27.8,37.2,0.0,21.1,DFW-SFO
P39,F807,497.05,Leisure,Economy,0,Mobile App,Window,63,0,JetBlue,ATL,LAX,2024-06-25 08:10:00,2024-06-25,08:10:00,291,On-time,1030,3,0,2024-06-25,ATL,29.8,22.2,36.7,0.0,6.5,ATL-LAX
P40,F657,325.8,Emergency,Economy,2,Mobile App,Aisle,79,0,Delta,ATL,LAX,2024-10-16 09:50:00,2024-10-16,09:50:00,92,On-time,1231,0,0,2024-10-16,ATL,11.4,6.1,17.2,0.0,19.1,ATL-LAX
P41,F1353,239.45,Family,Economy,1,Desk,Middle,92,0,American Airlines,JFK,ATL,2023-11-15 21:25:00,2023-11-15,21:25:00,182,Delayed,938,13,0,2023-11-15,JFK,6.7,1.1,10.0,0.0,12.6,JFK-ATL
P42,F1179,370.34,Business,Economy,2,Desk,Middle,107,0,Delta,LAX,DEN,2023-11-14 06:00:00,2023-11-14,06:00:00,92,On-time,1458,0,1,2023-11-14,LAX,16.7,10.6,25.0,0.0,7.2,LAX-DEN
P43,F1036,398.66,Leisure,Economy,1,Mobile App,Window,70,0,Southwest,DFW,ATL,2025-04-18 01:08:00,2025-04-18,01:08:00,179,On-time,925,28,0,2025-04-18,DFW,24.7,20.6,29.4,0.0,32.6,DFW-ATL
P44,F229,466.83,Emergency,Business,1,Mobile App,Middle,88,0,American Airlines,SFO,SEA,2023-12-13 06:55:00,2023-12-13,06:55:00,218,On-time,1241,14,0,2023-12-13,SFO,12.3,8.3,17.2,0.0,4.7,SFO-SEA
P45,F1553,320.68,Leisure,Economy,1,Mobile App,Window,68,0,JetBlue,ORD,DEN,2024-03-31 08:11:00,2024-03-31,08:11:00,158,On-time,1134,8,0,2024-03-31,ORD,5.9,3.3,12.2,6.6,16.9,ORD-DEN
P46,F1759,352.61,Leisure,Economy,1,Mobile App,Middle,12,0,JetBlue,LAX,ORD,2023-08-28 02:18:00,2023-08-28,02:18:00,165,On-time,1479,9,0,2023-08-28,LAX,22.7,18.9,29.4,0.0,9.7,LAX-ORD
P47,F726,315.38,Business,Premium Economy,1,Online,Middle,48,0,JetBlue,JFK,DFW,2025-01-20 05:45:00,2025-01-20,05:45:00,89,Cancelled,1096,1,0,2025-01-20,JFK,-3.2,-7.1,-1.6,0.0,24.8,JFK-DFW
P48,F121,449.12,Family,Economy,0,Airport Kiosk,Middle,115,0,Southwest,DEN,SFO,2025-01-16 00:19:00,2025-01-16,00:19:00,261,Delayed,1301,6,0,2025-01-16,DEN,2.6,-4.3,16.1,0.0,11.9,DEN-SFO
P49,F1441,219.72,Family,Premium Economy,2,Airport Kiosk,Middle,26,0,JetBlue,JFK,DEN,2023-06-05 23:34:00,2023-06-05,23:34:00,145,On-time,1441,26,0,2023-06-05,JFK,17.2,10.0,25.0,0.0,16.9,JFK-DEN
P50,F1698,122.7,Emergency,Economy,0,Mobile App,Middle,112,0,JetBlue,DEN,JFK,2023-05-23 17:58:00,2023-05-23,17:58:00,268,On-time,1286,11,0,2023-05-23,DEN,17.5,11.1,25.0,0.0,13.7,DEN-JFK
P51,F362,375.59,Business,Economy,2,Online,Window,6,0,JetBlue,ATL,JFK,2024-09-19 00:55:00,2024-09-19,00:55:00,83,On-time,1387,2,0,2024-09-19,ATL,24.8,20.0,31.7,0.0,5.8,ATL-JFK
P52,F1577,229.09,Leisure,Premium Economy,0,Online,Window,109,0,JetBlue,SEA,LAX,2025-02-09 16:35:00,2025-02-09,16:35:00,193,On-time,1204,8,0,2025-02-09,SEA,2.3,-0.5,4.4,0.0,9.4,SEA-LAX
P53,F670,467.72,Family,Premium Economy,4,Airport Kiosk,Window,64,0,JetBlue,JFK,JFK,2024-02-07 02:13:00,2024-02-07,02:13:00,29,On-time,703,2,1,2024-02-07,JFK,2.8,-1.6,8.9,0.0,11.2,JFK-JFK
P54,F1540,552.38,Business,Business,2,Desk,Aisle,6,0,Southwest,ATL,ATL,2023-10-11 12:39:00,2023-10-11,12:39:00,173,On-time,1071,5,1,2023-10-11,ATL,20.3,15.6,23.3,17.8,6.8,ATL-ATL
P55,F1222,477.94,Emergency,Economy,1,Airport Kiosk,Window,18,0,Southwest,DFW,SFO,2024-05-16 12:49:00,2024-05-16,12:49:00,59,Delayed,898,18,1,2024-05-16,DFW,21.5,18.9,26.1,,19.3,DFW-SFO
P56,F1537,229.74,Family,Economy,1,Online,Aisle,102,0,United,DFW,DEN,2024-11-18 12:59:00,2024-11-18,12:59:00,77,On-time,1149,15,0,2024-11-18,DFW,20.4,15.6,23.3,,27.7,DFW-DEN
P57,F1982,234.94,Leisure,Economy,1,Online,Window,42,0,United,ORD,ATL,2023-06-28 10:28:00,2023-06-28,10:28:00,115,On-time,1188,12,0,2023-06-28,ORD,21.4,14.4,29.4,0.0,10.8,ORD-ATL
P58,F1995,429.73,Leisure,Economy,3,Online,Middle,97,0,United,ATL,DEN,2024-09-10 08:04:00,2024-09-10,08:04:00,261,On-time,1143,3,0,2024-09-10,ATL,24.2,18.3,30.0,0.0,12.2,ATL-DEN
P59,F571,199.88,Family,Economy,1,Online,Window,41,0,United,SFO,ORD,2024-01-12 19:55:00,2024-01-12,19:55:00,157,On-time,974,2,0,2024-01-12,SFO,9.3,5.6,12.2,0.0,7.2,SFO-ORD
P60,F1972,361.13,Emergency,Premium Economy,1,Online,Window,83,0,Delta,JFK,DFW,2025-02-01 03:06:00,2025-02-01,03:06:00,233,On-time,1440,8,0,2025-02-01,JFK,5.7,-4.9,10.0,0.3,27.4,JFK-DFW
P61,F959,359.21,Leisure,Premium Economy,0,Online,Middle,6,0,JetBlue,SEA,LAX,2023-10-01 19:16:00,2023-10-01,19:16:00,180,Delayed,1101,51,0,2023-10-01,SEA,11.8,7.2,17.8,0.0,7.2,SEA-LAX
P62,F237,422.63,Family,Economy,1,Mobile App,Aisle,92,0,JetBlue,DEN,ATL,2025-04-10 04:15:00,2025-04-10,04:15:00,216,On-time,803,5,0,2025-04-10,DEN,12.4,0.6,20.6,0.0,10.8,DEN-ATL
P63,F1,250.22,Emergency,Premium Economy,0,Desk,Aisle,81,1,United,DFW,SEA,2024-02-17 13:14:00,2024-02-17,13:14:00,168,On-time,1388,56,0,2024-02-17,DFW,3.8,1.1,6.7,0.0,29.0,DFW-SEA
P64,F444,456.75,Business,Premium Economy,2,Mobile App,Middle,95,0,United,ATL,LAX,2023-11-13 03:11:00,2023-11-13,03:11:00,275,On-time,1242,1,0,2023-11-13,ATL,14.3,10.6,19.4,0.0,10.8,ATL-LAX
P65,F1874,353.16,Business,Premium Economy,0,Mobile App,Window,6,0,American Airlines,LAX,DEN,2023-07-12 07:10:00,2023-07-12,07:10:00,181,On-time,1097,4,0,2023-07-12,LAX,18.7,15.0,24.4,0.0,13.3,LAX-DEN
P66,F109,366.41,Business,Economy,1,Desk,Window,79,0,Southwest,LAX,JFK,2024-02-19 18:47:00,2024-02-19,18:47:00,148,On-time,1452,22,0,2024-02-19,LAX,14.2,12.8,14.4,24.4,14.8,LAX-JFK
P67,F530,376.59,Business,Economy,1,Online,Middle,21,0,American Airlines,DFW,ORD,2024-12-01 02:09:00,2024-12-01,02:09:00,93,Delayed,1698,2,0,2024-12-01,DFW,9.5,2.8,17.8,0.0,7.2,DFW-ORD
P68,F1668,234.32,Business,Premium Economy,3,Online,Window,99,0,Southwest,LAX,DEN,2023-06-01 07:19:00,2023-06-01,07:19:00,147,On-time,1589,6,0,2023-06-01,LAX,16.6,15.6,18.3,0.0,11.9,LAX-DEN
P69,F751,295.42,Leisure,Premium Economy,3,Desk,Window,13,0,American Airlines,SEA,ORD,2023-10-02 13:56:00,2023-10-02,13:56:00,98,On-time,1058,9,0,2023-10-02,SEA,12.6,10.6,13.9,11.4,10.1,SEA-ORD
P70,F1731,179.04,Family,Economy,0,Desk,Aisle,58,0,American Airlines,SEA,DFW,2023-09-30 21:20:00,2023-09-30,21:20:00,274,Delayed,1483,5,1,2023-09-30,SEA,11.6,8.9,16.7,0.0,8.3,SEA-DFW
P71,F1956,358.52,Emergency,Economy,3,Online,Middle,51,0,Southwest,SEA,DFW,2023-12-19 05:14:00,2023-12-19,05:14:00,182,Delayed,1298,8,0,2023-12-19,SEA,8.9,8.3,11.1,3.0,13.3,SEA-DFW
P72,F899,324.11,Leisure,Economy,0,Mobile App,Middle,63,0,JetBlue,LAX,DFW,2023-09-09 10:02:00,2023-09-09,10:02:00,229,On-time,595,19,0,2023-09-09,LAX,22.8,20.0,27.8,0.0,11.9,LAX-DFW
P73,F1648,382.08,Leisure,Economy,1,Mobile App,Window,66,0,Delta,DEN,ATL,2024-04-14 18:13:00,2024-04-14,18:13:00,205,On-time,1572,11,0,2024-04-14,DEN,17.1,7.2,26.7,0.0,22.7,DEN-ATL
P74,F771,353.37,Family,Economy,0,Online,Window,116,0,Delta,DFW,DFW,2024-11-13 20:10:00,2024-11-13,20:10:00,282,On-time,1074,7,0,2024-11-13,DFW,18.4,13.9,25.0,0.0,20.2,DFW-DFW
P75,F826,442.67,Business,Premium Economy,0,Mobile App,Window,80,0,JetBlue,ATL,SEA,2024-04-11 04:24:00,2024-04-11,04:24:00,230,On-time,1585,3,0,2024-04-11,ATL,19.5,12.8,23.9,5.3,24.5,ATL-SEA
P76,F1892,273.51,Business,Premium Economy,0,Online,Middle,51,0,JetBlue,ATL,DEN,2023-08-26 15:03:00,2023-08-26,15:03:00,174,On-time,1263,0,0,2023-08-26,ATL,31.3,25.0,37.2,0.0,13.3,ATL-DEN
P77,F1831,262.13,Family,Premium Economy,1,Desk,Aisle,63,0,American Airlines,ORD,DFW,2023-05-06 20:07:00,2023-05-06,20:07:00,198,On-time,1022,10,0,2023-05-06,ORD,19.5,15.0,25.6,0.3,19.1,ORD-DFW
P78,F1272,438.25,Emergency,Economy,1,Mobile App,Aisle,32,0,Southwest,ORD,DEN,2025-03-14 20:19:00,2025-03-14,20:19:00,176,On-time,859,8,0,2025-03-14,ORD,14.6,9.4,26.1,3.8,27.4,ORD-DEN
P79,F1993,339.86,Leisure,Economy,1,Mobile App,Window,19,0,American Airlines,ATL,ORD,2024-05-06 07:46:00,2024-05-06,07:46:00,173,On-time,950,11,0,2024-05-06,ATL,23.7,19.4,30.0,0.3,10.8,ATL-ORD
P80,F1742,440.78,Business,Economy,4,Online,Middle,9,0,Southwest,JFK,SEA,2023-12-20 12:20:00,2023-12-20,12:20:00,153,On-time,1061,3,1,2023-12-20,JFK,1.6,-1.6,6.7,0.0,20.5,JFK-SEA
P81,F1367,273.8,Emergency,Business,0,Online,Middle,21,0,Delta,LAX,DEN,2024-06-25 04:17:00,2024-06-25,04:17:00,167,On-time,1178,24,0,2024-06-25,LAX,20.7,17.2,24.4,0.0,14.8,LAX-DEN
P82,F740,538.42,Leisure,Premium Economy,0,Desk,Middle,64,0,American Airlines,DEN,DEN,2024-04-12 04:12:00,2024-04-12,04:12:00,201,On-time,1042,22,1,2024-04-12,DEN,12.8,2.2,25.0,0.0,18.0,DEN-DEN
P83,F36,316.76,Family,Economy,0,Desk,Middle,14,0,United,DFW,DFW,2024-12-01 06:57:00,2024-12-01,06:57:00,193,On-time,1434,4,0,2024-12-01,DFW,9.5,2.8,17.8,0.0,7.2,DFW-DFW
P84,F1141,285.22,Emergency,Premium Economy,1,Desk,Aisle,23,0,United,JFK,ATL,2024-03-18 03:44:00,2024-03-18,03:44:00,256,On-time,895,7,1,2024-03-18,JFK,9.3,3.3,11.7,0.0,23.8,JFK-ATL
P85,F582,353.57,Leisure,Economy,1,Desk,Window,119,0,American Airlines,ORD,LAX,2024-09-23 20:10:00,2024-09-23,20:10:00,227,On-time,1566,8,0,2024-09-23,ORD,18.1,15.6,19.4,0.5,15.1,ORD-LAX
P86,F660,451.07,Family,Economy,2,Airport Kiosk,Middle,69,0,Delta,ATL,DFW,2024-11-01 18:01:00,2024-11-01,18:01:00,172,On-time,749,4,0,2024-11-01,ATL,20.3,17.8,23.9,0.0,8.6,ATL-DFW
P87,F832,294.39,Emergency,Economy,2,Online,Window,47,0,United,SFO,DFW,2025-01-30 14:45:00,2025-01-30,14:45:00,243,On-time,611,16,0,2025-01-30,SFO,10.2,8.9,11.7,0.0,6.8,SFO-DFW
P88,F1776,270.98,Business,Economy,2,Airport Kiosk,Window,27,1,Southwest,LAX,LAX,2023-11-24 02:48:00,2023-11-24,02:48:00,175,Delayed,1262,23,0,2023-11-24,LAX,16.6,13.9,21.7,0.0,10.8,LAX-LAX
P89,F495,409.72,Family,Economy,1,Airport Kiosk,Aisle,22,0,American Airlines,JFK,DEN,2023-06-21 13:52:00,2023-06-21,13:52:00,145,Delayed,1093,5,0,2023-06-21,JFK,18.3,15.6,22.2,0.0,23.4,JFK-DEN
P90,F405,334.44,Business,Economy,1,Online,Aisle,115,0,United,ORD,SEA,2024-08-23 02:59:00,2024-08-23,02:59:00,200,On-time,1180,0,0,2024-08-23,ORD,21.4,15.0,27.8,0.0,7.9,ORD-SEA
P91,F60,286.77,Emergency,Economy,2,Mobile App,Aisle,99,0,Southwest,ORD,SFO,2024-06-10 10:46:00,2024-06-10,10:46:00,160,Cancelled,1101,4,1,2024-06-10,ORD,16.2,11.7,20.6,0.3,16.9,ORD-SFO
P92,F1659,457.72,Business,Economy,1,Mobile App,Aisle,29,0,Southwest,DFW,DFW,2023-12-17 10:50:00,2023-12-17,10:50:00,121,On-time,836,1,0,2023-12-17,DFW,11.7,2.8,22.2,0.0,7.9,DFW-DFW
P93,F589,327.74,Leisure,Premium Economy,0,Mobile App,Window,20,0,JetBlue,DFW,LAX,2024-03-18 22:45:00,2024-03-18,22:45:00,197,On-time,999,32,0,2024-03-18,DFW,11.6,7.8,14.4,0.0,15.9,DFW-LAX
P94,F116,347.0,Business,Economy,2,Online,Window,28,0,United,SFO,JFK,2023-10-01 13:07:00,2023-10-01,13:07:00,249,On-time,1468,4,0,2023-10-01,SFO,17.3,13.9,23.3,0.0,10.8,SFO-JFK
P95,F159,258.18,Leisure,Economy,0,Online,Middle,101,0,Delta,ORD,SEA,2024-05-12 05:39:00,2024-05-12,05:39:00,250,Delayed,1436,2,0,2024-05-12,ORD,17.6,9.4,28.3,0.0,15.1,ORD-SEA
P96,F1291,412.23,Emergency,Business,0,Desk,Middle,108,0,JetBlue,ATL,ATL,2023-05-04 14:50:00,2023-05-04,14:50:00,254,On-time,1216,7,0,2023-05-04,ATL,16.6,10.0,23.9,0.0,10.1,ATL-ATL
P97,F1829,400.97,Emergency,Economy,1,Mobile App,Middle,21,0,Southwest,LAX,DEN,2023-10-11 22:09:00,2023-10-11,22:09:00,111,Delayed,921,23,0,2023-10-11,LAX,18.9,16.7,22.2,0.0,13.3,LAX-DEN
P98,F561,274.51,Family,Economy,0,Online,Aisle,90,0,JetBlue,LAX,LAX,2024-11-07 22:46:00,2024-11-07,22:46:00,158,Cancelled,1275,15,0,2024-11-07,LAX,17.7,9.4,22.8,0.0,10.8,LAX-LAX
P99,F1104,364.28,Leisure,Business,1,Mobile App,Aisle,111,0,American Airlines,SFO,ORD,2025-03-24 07:35:00,2025-03-24,07:35:00,209,Delayed,1142,5,1,2025-03-24,SFO,13.9,10.0,24.4,0.0,4.3,SFO-ORD
P100,F619,265.69,Emergency,Economy,1,Mobile App,Middle,85,0,American Airlines,DEN,DEN,2023-07-06 05:31:00,2023-07-06,05:31:00,131,On-time,1361,47,0,2023-07-06,DEN,17.4,13.9,26.1,0.5,14.4,DEN-DEN
P101,F146,492.83,Business,Economy,0,Airport Kiosk,Aisle,38,0,Southwest,SEA,SEA,2023-05-15 01:27:00,2023-05-15,01:27:00,221,On-time,889,10,0,2023-05-15,SEA,26.2,14.4,31.1,3.0,13.0,SEA-SEA
P102,F1655,435.41,Emergency,First,3,Online,Window,101,0,American Airlines,DEN,JFK,2024-08-02 17:46:00,2024-08-02,17:46:00,215,On-time,1439,22,0,2024-08-02,DEN,28.8,17.2,38.3,0.0,16.6,DEN-JFK
P103,F542,204.43,Leisure,Economy,1,Mobile App,Middle,12,0,Delta,SFO,SFO,2023-09-17 07:54:00,2023-09-17,07:54:00,194,On-time,877,1,0,2023-09-17,SFO,19.3,16.1,23.9,0.0,13.7,SFO-SFO
P104,F121,261.46,Leisure,Economy,1,Mobile App,Window,36,0,Southwest,DEN,SFO,2025-01-16 00:19:00,2025-01-16,00:19:00,261,Delayed,1301,6,0,2025-01-16,DEN,2.6,-4.3,16.1,0.0,11.9,DEN-SFO
P105,F1320,235.2,Emergency,First,4,Airport Kiosk,Window,57,0,Delta,DEN,SEA,2024-04-03 17:13:00,2024-04-03,17:13:00,244,On-time,1305,1,0,2024-04-03,DEN,11.7,2.8,21.7,0.0,14.8,DEN-SEA
P106,F866,350.71,Leisure,Economy,1,Desk,Window,89,0,Southwest,DFW,DFW,2024-11-10 04:44:00,2024-11-10,04:44:00,205,On-time,1827,5,0,2024-11-10,DFW,18.3,10.6,27.2,0.0,5.3,DFW-DFW
P107,F292,195.0,Emergency,Economy,4,Airport Kiosk,Aisle,4,0,Southwest,ATL,JFK,2025-04-04 15:26:00,2025-04-04,15:26:00,161,On-time,1390,1,0,2025-04-04,ATL,24.4,18.9,30.6,0.0,13.3,ATL-JFK
P108,F1328,220.59,Family,Economy,2,Airport Kiosk,Middle,116,0,American Airlines,LAX,ORD,2024-02-22 20:02:00,2024-02-22,20:02:00,104,On-time,901,4,0,2024-02-22,LAX,13.9,10.6,17.2,0.0,10.8,LAX-ORD
