Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P15,F377,Southwest,JFK,DEN,13/05/2024 12:05,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,4.1,8,87,0,0,Window
P16,F484,Southwest,SEA,SEA,12/05/2023 20:15,228,On-time,1256,361.83,73,Male,Low,Business,Business,1,None,Mobile App,7.5,3,84,0,0,Middle
P17,F1631,JetBlue,DFW,ORD,19/10/2023 19:34,85,On-time,1012,222.65,19,Female,Medium,Emergency,Premium Economy,0,None,Online,6.5,11,76,0,0,Middle
P18,F170,JetBlue,DFW,DEN,13/04/2024 1:27,232,On-time,1196,439.21,18,Female,Low,Family,Premium Economy,0,None,Mobile App,7.9,12,8,0,0,Window
P19,F478,JetBlue,DFW,SFO,26/01/2024 1:03,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,7.9,4,88,0,0,Aisle
P20,F362,JetBlue,ATL,JFK,19/09/2024 0:55,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,4.9,2,24,0,0,Aisle
P21,F1143,Southwest,ATL,LAX,16/11/2023 21:04,248,On-time,1004,388.72,22,Male,Medium,Emergency,Premium Economy,0,None,Mobile App,10,4,59,0,0,Middle
P22,F39,Delta,ORD,DEN,24/08/2023 21:38,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,4.9,9,52,1,1,Window
P23,F1663,American Airlines,SFO,SEA,11/02/2025 7:57,87,On-time,902,248.89,54,Male,High,Business,Economy,1,None,Mobile App,3.9,3,10,0,0,Window
P24,F290,JetBlue,LAX,SEA,25/05/2023 0:18,256,Cancelled,1328,192,60,Female,Low,Leisure,Economy,2,Gold,Online,8.4,16,66,0,0,Window
P25,F888,JetBlue,ORD,JFK,06/08/2023 21:18,238,On-time,959,243.87,55,Female,Medium,Leisure,Economy,0,None,Online,4.5,6,92,0,0,Middle
P26,F1447,United,ORD,LAX,26/05/2024 10:14,138,On-time,1397,406.52,34,Male,Medium,Leisure,Economy,1,None,Online,6.7,6,94,0,0,Aisle
P27,F47,Delta,ATL,LAX,06/02/2025 21:23,117,On-time,1059,333.59,51,Male,Low,Leisure,Premium Economy,0,Gold,Online,6.9,14,70,0,0,Window
P28,F556,United,SEA,SEA,30/06/2023 13:32,169,On-time,1403,197.8,75,Male,Medium,Business,Economy,3,None,Airport Kiosk,5.9,7,24,0,0,Window
P29,F427,American Airlines,SFO,DFW,13/01/2025 20:17,192,On-time,1096,219.61,54,Male,Medium,Emergency,Economy,1,Gold,Desk,7.7,2,64,0,1,Aisle
P30,F939,American Airlines,DEN,LAX,06/06/2023 21:53,145,On-time,1272,420.26,31,Female,High,Family,Economy,1,None,Mobile App,6.6,11,114,0,0,Middle
P31,F922,Southwest,ORD,ATL,11/12/2023 9:10,100,Cancelled,1615,349.5,45,Female,Medium,Leisure,Economy,1,None,Desk,5.2,7,45,0,0,Middle
P32,F127,JetBlue,DEN,JFK,20/03/2024 19:22,224,On-time,875,325.89,49,Male,Medium,Business,Economy,1,Platinum,Online,9.1,2,63,0,0,Window
P33,F602,United,SFO,LAX,19/09/2024 7:53,241,Delayed,1188,416.78,37,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,5.7,0,109,0,0,Window
P34,F186,American Airlines,LAX,ATL,06/07/2023 20:34,115,On-time,1622,270.02,76,Female,Medium,Family,Premium Economy,1,None,Online,6.5,14,7,0,1,Middle
P35,F699,American Airlines,ORD,SFO,09/01/2024 11:27,146,On-time,1435,403.37,44,Male,Medium,Family,Economy,0,None,Desk,7.8,0,96,0,0,Middle
P36,F215,Delta,LAX,DFW,30/01/2024 2:16,218,On-time,2558,430.53,31,Female,High,Family,Economy,1,Silver,Airport Kiosk,9.1,7,90,0,0,Middle
P37,F1221,American Airlines,DFW,JFK,18/08/2023 11:53,262,Cancelled,1198,284.82,70,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,5.8,8,43,0,0,Middle
P38,F117,American Airlines,DFW,SFO,14/08/2023 12:46,187,On-time,986,292.8,69,Male,High,Leisure,Economy,1,Silver,Mobile App,6.5,16,34,0,0,Middle
P39,F807,JetBlue,ATL,LAX,25/06/2024 8:10,291,On-time,1030,497.05,60,Female,Medium,Leisure,Economy,0,Silver,Mobile App,7.7,3,63,0,0,Window
P40,F657,Delta,ATL,LAX,16/10/2024 9:50,92,On-time,1231,325.8,44,Male,Medium,Emergency,Economy,2,Silver,Mobile App,4.2,0,79,0,0,Aisle
P41,F1353,American Airlines,JFK,ATL,15/11/2023 21:25,182,Delayed,938,239.45,66,Female,Low,Family,Economy,1,None,Desk,9.4,13,92,0,0,Middle
P42,F1179,Delta,LAX,DEN,14/11/2023 6:00,92,On-time,1458,370.34,21,Male,Medium,Business,Economy,2,None,Desk,8.5,0,107,0,1,Middle
P43,F1036,Southwest,DFW,ATL,18/04/2025 1:08,179,On-time,925,398.66,50,Female,Medium,Leisure,Economy,1,None,Mobile App,6.7,28,70,0,0,Window
P44,F229,American Airlines,SFO,SEA,13/12/2023 6:55,218,On-time,1241,466.83,42,Female,Medium,Emergency,Business,1,Silver,Mobile App,7.3,14,88,0,0,Middle
P45,F1553,JetBlue,ORD,DEN,31/03/2024 8:11,158,On-time,1134,320.68,72,Female,High,Leisure,Economy,1,None,Mobile App,8,8,68,0,0,Window
P46,F1759,JetBlue,LAX,ORD,28/08/2023 2:18,165,On-time,1479,352.61,30,Male,Low,Leisure,Economy,1,Silver,Mobile App,8.5,9,12,0,0,Middle
P47,F726,JetBlue,JFK,DFW,20/01/2025 5:45,89,Cancelled,1096,315.38,37,Male,Medium,Business,Premium Economy,1,None,Online,6.2,1,48,0,0,Middle
P48,F121,Southwest,DEN,SFO,16/01/2025 0:19,261,Delayed,1301,449.12,38,Male,High,Family,Economy,0,Gold,Airport Kiosk,9.1,6,115,0,0,Middle
P49,F1441,JetBlue,JFK,DEN,05/06/2023 23:34,145,On-time,1441,219.72,25,Male,Medium,Family,Premium Economy,2,None,Airport Kiosk,8.4,26,26,0,0,Middle
P50,F1698,JetBlue,DEN,JFK,23/05/2023 17:58,268,On-time,1286,122.7,29,Male,High,Emergency,Economy,0,None,Mobile App,4.9,11,112,0,0,Middle
P51,F362,American Airlines,SEA,DFW,12/11/2023 21:50,186,On-time,1212,375.59,39,Female,Medium,Business,Economy,2,Platinum,Online,8.5,13,6,0,0,Window
P52,F1577,JetBlue,SEA,LAX,09/02/2025 16:35,193,On-time,1204,229.09,67,Female,Low,Leisure,Premium Economy,0,None,Online,8,8,109,0,0,Window
P53,F670,JetBlue,JFK,JFK,07/02/2024 2:13,29,On-time,703,467.72,22,Male,Medium,Family,Premium Economy,4,None,Airport Kiosk,8.5,2,64,0,1,Window
P54,F1540,Southwest,ATL,ATL,11/10/2023 12:39,173,On-time,1071,552.38,42,Male,Medium,Business,Business,2,None,Desk,5.6,5,6,0,1,Aisle
P55,F1222,Southwest,DFW,SFO,16/05/2024 12:49,59,Delayed,898,477.94,54,Female,Low,Emergency,Economy,1,Platinum,Airport Kiosk,5.2,18,18,0,1,Window
P56,F1537,United,DFW,DEN,18/11/2024 12:59,77,On-time,1149,229.74,18,Male,Medium,Family,Economy,1,None,Online,5.2,15,102,0,0,Aisle
P57,F1982,United,ORD,ATL,28/06/2023 10:28,115,On-time,1188,234.94,41,Male,Low,Leisure,Economy,1,Gold,Online,6.8,12,42,0,0,Window
P58,F1995,United,ATL,DEN,10/09/2024 8:04,261,On-time,1143,429.73,79,Female,Low,Leisure,Economy,3,Gold,Online,9.3,3,97,0,0,Middle
P59,F571,United,SFO,ORD,12/01/2024 19:55,157,On-time,974,199.88,31,Male,Medium,Family,Economy,1,None,Online,6.1,2,41,0,0,Window
P60,F1972,Delta,JFK,DFW,01/02/2025 3:06,233,On-time,1440,361.13,25,Male,Low,Emergency,Premium Economy,1,None,Online,10,8,83,0,0,Window
P61,F959,JetBlue,SEA,LAX,01/10/2023 19:16,180,Delayed,1101,359.21,18,Female,High,Leisure,Premium Economy,0,None,Online,8,51,6,0,0,Middle
P62,F237,JetBlue,DEN,ATL,10/04/2025 4:15,216,On-time,803,422.63,44,Male,High,Family,Economy,1,None,Mobile App,6.7,5,92,0,0,Aisle
P63,F1,United,DFW,SEA,17/02/2024 13:14,168,On-time,1388,250.22,75,Male,Medium,Emergency,Premium Economy,0,None,Desk,6.1,56,81,1,0,Aisle
P64,F444,United,ATL,LAX,13/11/2023 3:11,275,On-time,1242,456.75,24,Female,Low,Business,Premium Economy,2,Gold,Mobile App,9,1,95,0,0,Middle
P65,F1874,American Airlines,LAX,DEN,12/07/2023 7:10,181,On-time,1097,353.16,69,Female,High,Business,Premium Economy,0,None,Mobile App,7.7,4,6,0,0,Window
P66,F109,Southwest,LAX,JFK,19/02/2024 18:47,148,On-time,1452,366.41,76,Male,Medium,Business,Economy,1,Silver,Desk,8.3,22,79,0,0,Window
P67,F530,American Airlines,DFW,ORD,01/12/2024 2:09,93,Delayed,1698,376.59,56,Male,Low,Business,Economy,1,None,Online,8.7,2,21,0,0,Middle
P68,F1668,Southwest,LAX,DEN,01/06/2023 7:19,147,On-time,1589,234.32,54,Male,Medium,Business,Premium Economy,3,Silver,Online,5.6,6,99,0,0,Window
P69,F751,American Airlines,SEA,ORD,02/10/2023 13:56,98,On-time,1058,295.42,53,Female,High,Leisure,Premium Economy,3,None,Desk,7.3,9,13,0,0,Window
P70,F1731,American Airlines,SEA,DFW,30/09/2023 21:20,274,Delayed,1483,179.04,29,Female,Low,Family,Economy,0,Gold,Desk,5.2,5,58,0,1,Aisle
P71,F1956,Southwest,SEA,DFW,19/12/2023 5:14,182,Delayed,1298,358.52,62,Male,Medium,Emergency,Economy,3,Platinum,Online,6.4,8,51,0,0,Middle
P72,F899,JetBlue,LAX,DFW,09/09/2023 10:02,229,On-time,595,324.11,34,Female,High,Leisure,Economy,0,None,Mobile App,7,19,63,0,0,Middle
P73,F1648,Delta,DEN,ATL,14/04/2024 18:13,205,On-time,1572,382.08,42,Male,Low,Leisure,Economy,1,Silver,Mobile App,7.5,11,66,0,0,Window
P74,F771,Delta,DFW,DFW,13/11/2024 20:10,282,On-time,1074,353.37,64,Female,Medium,Family,Economy,0,Platinum,Online,4.4,7,116,0,0,Window
P75,F826,JetBlue,ATL,SEA,11/04/2024 4:24,230,On-time,1585,442.67,29,Male,Low,Business,Premium Economy,0,None,Mobile App,6.9,3,80,0,0,Window
P76,F1892,JetBlue,ATL,DEN,26/08/2023 15:03,174,On-time,1263,273.51,22,Male,Low,Business,Premium Economy,0,Gold,Online,9,0,51,0,0,Middle
P77,F1831,American Airlines,ORD,DFW,06/05/2023 20:07,198,On-time,1022,262.13,58,Male,Medium,Family,Premium Economy,1,None,Desk,6.4,10,63,0,0,Aisle
P78,F1272,Southwest,ORD,DEN,14/03/2025 20:19,176,On-time,859,438.25,27,Female,Medium,Emergency,Economy,1,Silver,Mobile App,7.6,8,32,0,0,Aisle
P79,F1993,American Airlines,ATL,ORD,06/05/2024 7:46,173,On-time,950,339.86,27,Female,Medium,Leisure,Economy,1,Silver,Mobile App,6.8,11,19,0,0,Window
P80,F1742,Southwest,JFK,SEA,20/12/2023 12:20,153,On-time,1061,440.78,59,Male,Low,Business,Economy,4,Gold,Online,6.5,3,9,0,1,Middle
P81,F1367,Delta,LAX,DEN,25/06/2024 4:17,167,On-time,1178,273.8,25,Female,Low,Emergency,Business,0,Gold,Online,7.4,24,21,0,0,Middle
P82,F740,American Airlines,DEN,DEN,12/04/2024 4:12,201,On-time,1042,538.42,51,Female,High,Leisure,Premium Economy,0,Platinum,Desk,6.5,22,64,0,1,Middle
P83,F36,United,DFW,DFW,01/12/2024 6:57,193,On-time,1434,316.76,48,Male,Medium,Family,Economy,0,Gold,Desk,7.8,4,14,0,0,Middle
P84,F1141,United,JFK,ATL,18/03/2024 3:44,256,On-time,895,285.22,40,Male,Low,Emergency,Premium Economy,1,None,Desk,8.6,7,23,0,1,Aisle
P85,F582,American Airlines,ORD,LAX,23/09/2024 20:10,227,On-time,1566,353.57,67,Male,High,Leisure,Economy,1,None,Desk,7.6,8,119,0,0,Window
P86,F660,Delta,ATL,DFW,01/11/2024 18:01,172,On-time,749,451.07,30,Male,Low,Family,Economy,2,Silver,Airport Kiosk,5.9,4,69,0,0,Middle
P87,F832,United,SFO,DFW,30/01/2025 14:45,243,On-time,611,294.39,66,Male,Low,Emergency,Economy,2,None,Online,7.5,16,47,0,0,Window
P88,F1776,Southwest,LAX,LAX,24/11/2023 2:48,175,Delayed,1262,270.98,39,Male,Medium,Business,Economy,2,None,Airport Kiosk,8.2,23,27,1,0,Window
P89,F495,American Airlines,JFK,DEN,21/06/2023 13:52,145,Delayed,1093,409.72,20,Male,High,Family,Economy,1,Gold,Airport Kiosk,4.9,5,22,0,0,Aisle
P90,F405,United,ORD,SEA,23/08/2024 2:59,200,On-time,1180,334.44,57,Male,Medium,Business,Economy,1,None,Online,5.1,0,115,0,0,Aisle
P91,F60,Southwest,ORD,SFO,10/06/2024 10:46,160,Cancelled,1101,286.77,40,Female,Medium,Emergency,Economy,2,Platinum,Mobile App,4.8,4,99,0,1,Aisle
P92,F1659,Southwest,DFW,DFW,17/12/2023 10:50,121,On-time,836,457.72,37,Female,Low,Business,Economy,1,Gold,Mobile App,7.6,1,29,0,0,Aisle
P93,F589,JetBlue,DFW,LAX,18/03/2024 22:45,197,On-time,999,327.74,55,Female,Medium,Leisure,Premium Economy,0,None,Mobile App,8.5,32,20,0,0,Window
P94,F116,United,SFO,JFK,01/10/2023 13:07,249,On-time,1468,347,55,Male,Low,Business,Economy,2,None,Online,6.3,4,28,0,0,Window
P95,F159,Delta,ORD,SEA,12/05/2024 5:39,250,Delayed,1436,258.18,62,Male,Low,Leisure,Economy,0,Silver,Online,4.1,2,101,0,0,Middle
P96,F1291,JetBlue,ATL,ATL,04/05/2023 14:50,254,On-time,1216,412.23,74,Male,Low,Emergency,Business,0,None,Desk,5.9,7,108,0,0,Middle
P97,F1829,Southwest,LAX,DEN,11/10/2023 22:09,111,Delayed,921,400.97,36,Female,Medium,Emergency,Economy,1,Gold,Mobile App,7.5,23,21,0,0,Middle
P98,F561,JetBlue,LAX,LAX,07/11/2024 22:46,158,Cancelled,1275,274.51,37,Male,Medium,Family,Economy,0,Silver,Online,8,15,90,0,0,Aisle
P99,F1104,American Airlines,SFO,ORD,24/03/2025 7:35,209,Delayed,1142,364.28,56,Male,Medium,Leisure,Business,1,Silver,Mobile App,7.1,5,111,0,1,Aisle
P100,F619,American Airlines,DEN,DEN,06/07/2023 5:31,131,On-time,1361,265.69,73,Female,Low,Emergency,Economy,1,None,Mobile App,7.2,47,85,0,0,Middle
P101,F146,Southwest,SEA,SEA,15/05/2023 1:27,221,On-time,889,492.83,25,Male,Low,Business,Economy,0,Silver,Airport Kiosk,6,10,38,0,0,Aisle
P102,F1655,American Airlines,DEN,JFK,02/08/2024 17:46,215,On-time,1439,435.41,73,Male,Low,Emergency,First,3,Silver,Online,8.3,22,101,0,0,Window
P103,F542,Delta,SFO,SFO,17/09/2023 7:54,194,On-time,877,204.43,64,Female,High,Leisure,Economy,1,None,Mobile App,6.5,1,12,0,0,Middle
P104,F121,United,LAX,ORD,29/09/2023 1:35,125,Delayed,666,261.46,59,Male,High,Leisure,Economy,1,None,Mobile App,5.9,28,36,0,1,Window
P105,F1320,Delta,DEN,SEA,03/04/2024 17:13,244,On-time,1305,235.2,51,Female,High,Emergency,First,4,Silver,Airport Kiosk,4.9,1,57,0,0,Window
P106,F866,Southwest,DFW,DFW,10/11/2024 4:44,205,On-time,1827,350.71,42,Male,Medium,Leisure,Economy,1,Silver,Desk,5.5,5,89,0,0,Window
P107,F292,Southwest,ATL,JFK,04/04/2025 15:26,161,On-time,1390,195,75,Male,High,Emergency,Economy,4,Silver,Airport Kiosk,6.7,1,4,0,0,Aisle
P108,F1328,American Airlines,LAX,ORD,22/02/2024 20:02,104,On-time,901,220.59,30,Male,Medium,Family,Economy,2,None,Airport Kiosk,5.7,4,116,0,0,Middle
P109,F910,American Airlines,ATL,DEN,27/07/2024 12:19,157,Delayed,1073,305.67,53,Male,Medium,Leisure,Economy,1,None,Mobile App,6.6,1,104,0,0,Window
P110,F15,American Airlines,DEN,ORD,27/10/2023 12:24,202,On-time,1303,260.88,47,Female,Medium,Emergency,Economy,1,Platinum,Desk,7.8,15,50,0,0,Middle
P111,F249,United,DEN,DFW,09/09/2023 23:52,131,On-time,1592,311.31,74,Female,Medium,Family,Economy,1,None,Mobile App,9.7,1,60,1,0,Aisle
P112,F967,United,SFO,JFK,12/10/2024 21:37,105,On-time,1518,342.85,29,Female,High,Business,Premium Economy,3,Silver,Airport Kiosk,5.9,10,21,0,1,Middle
P113,F894,Southwest,SFO,ATL,08/03/2024 1:25,242,On-time,950,506.77,62,Male,Medium,Family,Business,5,Platinum,Airport Kiosk,8.3,3,79,0,0,Aisle
P114,F1596,Delta,ATL,DEN,14/03/2025 14:00,133,Cancelled,925,329.48,29,Male,Medium,Emergency,Economy,2,Gold,Desk,9.5,7,8,0,0,Middle
P115,F1029,JetBlue,SEA,SEA,26/04/2024 2:25,261,On-time,1094,249.95,63,Female,High,Business,Premium Economy,0,None,Online,7.6,6,55,0,0,Aisle
P116,F590,JetBlue,JFK,SFO,07/07/2024 2:14,146,On-time,1255,455.03,71,Female,Medium,Business,Business,0,Silver,Airport Kiosk,7.2,5,66,0,0,Middle
P117,F1014,American Airlines,LAX,DFW,26/05/2023 10:35,156,On-time,1107,300.33,54,Male,Low,Emergency,Economy,1,Gold,Desk,7.6,3,58,1,0,Aisle
P118,F472,Delta,SFO,ATL,16/11/2023 3:31,145,Delayed,979,363.47,67,Female,Medium,Leisure,Economy,2,Silver,Airport Kiosk,7.4,0,24,1,0,Window
P119,F1697,American Airlines,JFK,SEA,07/12/2023 12:28,204,Delayed,985,151.12,26,Male,High,Leisure,Economy,1,Gold,Desk,5.6,9,17,0,0,Window
P120,F1043,United,SEA,LAX,28/12/2023 10:40,155,On-time,832,344.5,51,Male,Medium,Family,Economy,1,None,Mobile App,8.2,2,27,0,1,Aisle
P121,F1965,American Airlines,DFW,LAX,26/11/2024 21:32,237,On-time,1775,384.83,25,Male,Medium,Emergency,Economy,0,Silver,Mobile App,6.8,6,67,0,1,Aisle
P122,F1475,United,ATL,ORD,29/04/2024 5:54,140,On-time,1306,128.22,79,Male,Medium,Leisure,Premium Economy,3,Silver,Mobile App,7.6,6,101,0,0,Window
P123,F1349,United,SEA,ORD,31/07/2023 1:34,117,On-time,1450,260.06,61,Male,Medium,Family,Premium Economy,1,None,Desk,8.8,3,9,0,0,Aisle
P124,F539,American Airlines,DFW,DEN,27/10/2024 11:28,252,On-time,1480,546.65,32,Male,Low,Family,Economy,1,None,Online,6,1,43,0,0,Aisle
P125,F1332,Southwest,LAX,SEA,05/12/2023 10:17,208,Cancelled,1130,333.91,29,Male,Medium,Leisure,Economy,1,None,Online,4.8,12,98,0,0,Aisle
P126,F940,American Airlines,JFK,SEA,22/06/2024 4:31,264,Delayed,1103,177.53,45,Male,Low,Family,Economy,2,None,Mobile App,8.8,5,99,0,0,Window
P127,F913,United,ATL,ATL,11/04/2025 17:28,94,On-time,1395,402.89,45,Female,Low,Leisure,Economy,3,None,Online,7.1,22,117,0,0,Middle
P128,F1539,American Airlines,SEA,ORD,16/02/2024 15:15,200,On-time,1294,428.48,42,Female,Low,Emergency,Business,3,Platinum,Mobile App,5.7,7,7,0,0,Middle
P129,F1437,JetBlue,SFO,ORD,19/07/2023 21:38,164,On-time,1125,316.42,62,Male,High,Emergency,Economy,0,Silver,Online,5.9,0,39,0,0,Aisle
P130,F345,JetBlue,SFO,LAX,03/04/2024 23:05,189,On-time,837,473.92,31,Female,High,Emergency,Business,3,None,Online,9,11,86,0,0,Aisle
P131,F349,JetBlue,LAX,LAX,11/05/2023 17:08,191,On-time,1288,532.86,29,Female,Low,Business,Economy,1,Platinum,Mobile App,7.5,6,104,0,1,Window
P132,F747,United,JFK,SFO,08/07/2023 15:21,255,On-time,1044,382.4,43,Female,Low,Family,Economy,1,Platinum,Desk,7.5,1,2,0,0,Window
P133,F1572,American Airlines,LAX,SFO,26/12/2024 0:15,132,On-time,935,294.25,19,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.5,13,78,0,0,Aisle
P134,F33,Delta,ORD,SFO,19/07/2024 18:07,168,On-time,1251,374.44,77,Male,High,Family,Economy,2,None,Airport Kiosk,6.2,8,7,0,1,Aisle
P135,F1202,JetBlue,DFW,ORD,28/01/2024 10:20,143,On-time,1496,245.25,57,Female,Medium,Family,Economy,2,None,Online,6.7,27,104,0,0,Aisle
P136,F1104,JetBlue,LAX,SFO,27/12/2024 6:16,217,On-time,839,330.76,60,Male,High,Leisure,Premium Economy,0,Silver,Mobile App,7.2,15,23,0,0,Middle
P137,F1672,Southwest,DEN,SFO,11/04/2025 15:06,188,On-time,1352,476.48,76,Male,High,Leisure,Economy,2,None,Desk,8.7,12,100,0,0,Window
P138,F36,Delta,LAX,DEN,19/10/2024 15:45,286,On-time,1903,339.92,71,Male,Low,Leisure,Economy,0,None,Desk,7.1,3,119,0,0,Window
P139,F101,JetBlue,ORD,DFW,21/05/2023 20:12,152,On-time,1072,285.5,26,Male,High,Emergency,Business,1,None,Airport Kiosk,9.1,19,118,0,0,Window
P140,F1632,Southwest,ATL,ATL,09/12/2023 20:31,172,On-time,1369,298.4,51,Male,Medium,Business,Business,1,Silver,Desk,6.4,37,22,0,0,Window
P141,F367,Delta,DFW,SEA,28/06/2023 15:51,252,On-time,615,168.01,68,Female,Medium,Leisure,Premium Economy,1,None,Online,8.1,3,53,1,0,Middle
P142,F467,Southwest,ATL,DEN,12/05/2024 0:28,145,Delayed,1025,418.9,33,Female,High,Leisure,Premium Economy,3,None,Mobile App,6.5,18,107,0,0,Window
P143,F1873,JetBlue,DFW,LAX,04/11/2024 5:44,181,On-time,1249,176.04,37,Female,Medium,Leisure,Economy,3,Platinum,Mobile App,5.5,6,45,0,0,Aisle
P144,F1775,United,ORD,ATL,19/07/2024 14:07,204,On-time,1568,339.62,54,Male,Medium,Leisure,Economy,1,None,Online,10,4,58,0,0,Aisle
P145,F1924,JetBlue,LAX,ORD,06/06/2024 13:14,319,On-time,1294,388.28,74,Female,Low,Family,Economy,0,None,Online,5.6,3,78,0,0,Aisle
P146,F1557,United,SEA,DFW,03/10/2023 9:15,225,On-time,1136,303.95,60,Female,Low,Emergency,Premium Economy,1,Silver,Airport Kiosk,6.1,13,72,0,1,Aisle
P147,F1675,JetBlue,ATL,DFW,12/11/2023 11:19,203,On-time,1780,203.9,36,Female,Medium,Family,Economy,3,None,Mobile App,4.6,7,70,0,1,Middle
P148,F1414,Delta,DFW,JFK,26/02/2024 8:20,181,Cancelled,725,272.76,24,Female,High,Emergency,Business,1,Gold,Airport Kiosk,3.1,19,27,0,0,Aisle
P149,F56,American Airlines,ATL,ORD,06/06/2024 18:03,172,On-time,1488,275.29,72,Female,Medium,Business,Business,1,Gold,Online,8.8,11,90,0,0,Middle
P150,F437,Southwest,LAX,DFW,22/09/2023 2:27,283,On-time,1529,296.31,41,Male,Low,Family,Economy,1,Silver,Mobile App,9.3,7,63,0,1,Middle
P151,F782,American Airlines,DFW,LAX,04/12/2024 11:48,178,On-time,1387,441.05,31,Male,High,Family,Economy,3,Gold,Mobile App,4.4,1,103,0,0,Aisle
P152,F1880,Southwest,JFK,SFO,22/02/2024 13:48,197,On-time,1491,575.18,43,Male,Medium,Business,Economy,1,None,Mobile App,7.3,5,60,0,0,Middle
P153,F1236,American Airlines,ATL,SEA,05/07/2024 0:20,160,On-time,1302,286.41,33,Female,Medium,Emergency,Economy,1,None,Desk,7.6,3,68,0,0,Middle
P154,F1015,American Airlines,LAX,SFO,13/06/2024 7:10,132,On-time,968,317.33,20,Female,Low,Business,Premium Economy,1,None,Desk,8.2,13,56,0,0,Aisle
P155,F1695,Southwest,ATL,ORD,20/04/2024 21:25,205,On-time,1029,449.3,79,Female,Low,Leisure,Economy,2,None,Airport Kiosk,8,0,104,0,0,Aisle
P156,F1166,American Airlines,ORD,JFK,17/03/2025 12:41,223,Delayed,1326,291.85,20,Female,High,Leisure,Economy,1,Silver,Mobile App,8.2,12,70,0,0,Window
P157,F1027,American Airlines,ORD,LAX,15/04/2025 21:43,169,On-time,777,361.79,77,Female,Medium,Leisure,Business,2,Gold,Airport Kiosk,3.5,4,112,0,0,Aisle
