Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Departure_Date,Departure_Hour,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Delay_Minutes,Weather_Impact
F660,Delta,ATL,DFW,2024-11-01 18:01:00,2024-11-01,18:01:00,172,On-time,749,4,0
F832,United,SFO,DFW,2025-01-30 14:45:00,2025-01-30,14:45:00,243,On-time,611,16,0
F1776,Southwest,LAX,LAX,2023-11-24 02:48:00,2023-11-24,02:48:00,175,Delayed,1262,23,0
F495,American Airlines,JFK,DEN,2023-06-21 13:52:00,2023-06-21,13:52:00,145,Delayed,1093,5,0
F405,United,ORD,SEA,2024-08-23 02:59:00,2024-08-23,02:59:00,200,On-time,1180,0,0
F60,Southwest,ORD,SFO,2024-06-10 10:46:00,2024-06-10,10:46:00,160,Cancelled,1101,4,1
F1659,Southwest,DFW,DFW,2023-12-17 10:50:00,2023-12-17,10:50:00,121,On-time,836,1,0
F589,JetBlue,DFW,LAX,2024-03-18 22:45:00,2024-03-18,22:45:00,197,On-time,999,32,0
F116,United,SFO,JFK,2023-10-01 13:07:00,2023-10-01,13:07:00,249,On-time,1468,4,0
F159,Delta,ORD,SEA,2024-05-12 05:39:00,2024-05-12,05:39:00,250,Delayed,1436,2,0
F1291,JetBlue,ATL,ATL,2023-05-04 14:50:00,2023-05-04,14:50:00,254,On-time,1216,7,0
F1829,Southwest,LAX,DEN,2023-10-11 22:09:00,2023-10-11,22:09:00,111,Delayed,921,23,0
F561,JetBlue,LAX,LAX,2024-11-07 22:46:00,2024-11-07,22:46:00,158,Cancelled,1275,15,0
F1104,American Airlines,SFO,ORD,2025-03-24 07:35:00,2025-03-24,07:35:00,209,Delayed,1142,5,1
F619,American Airlines,DEN,DEN,2023-07-06 05:31:00,2023-07-06,05:31:00,131,On-time,1361,47,0
F146,Southwest,SEA,SEA,2023-05-15 01:27:00,2023-05-15,01:27:00,221,On-time,889,10,0
F1655,American Airlines,DEN,JFK,2024-08-02 17:46:00,2024-08-02,17:46:00,215,On-time,1439,22,0
F542,Delta,SFO,SFO,2023-09-17 07:54:00,2023-09-17,07:54:00,194,On-time,877,1,0
F1320,Delta,DEN,SEA,2024-04-03 17:13:00,2024-04-03,17:13:00,244,On-time,1305,1,0
F866,Southwest,DFW,DFW,2024-11-10 04:44:00,2024-11-10,04:44:00,205,On-time,1827,5,0
F292,Southwest,ATL,JFK,2025-04-04 15:26:00,2025-04-04,15:26:00,161,On-time,1390,1,0
F1328,American Airlines,LAX,ORD,2024-02-22 20:02:00,2024-02-22,20:02:00,104,On-time,901,4,0
F910,American Airlines,ATL,DEN,2024-07-27 12:19:00,2024-07-27,12:19:00,157,Delayed,1073,1,0
F15,American Airlines,DEN,ORD,2023-10-27 12:24:00,2023-10-27,12:24:00,202,On-time,1303,15,0
F249,United,DEN,DFW,2023-09-09 23:52:00,2023-09-09,23:52:00,131,On-time,1592,1,0
F967,United,SFO,JFK,2024-10-12 21:37:00,2024-10-12,21:37:00,105,On-time,1518,10,1
F894,Southwest,SFO,ATL,2024-03-08 01:25:00,2024-03-08,01:25:00,242,On-time,950,3,0
F1596,Delta,ATL,DEN,2025-03-14 14:00:00,2025-03-14,14:00:00,133,Cancelled,925,7,0
F1029,JetBlue,SEA,SEA,2024-04-26 02:25:00,2024-04-26,02:25:00,261,On-time,1094,6,0
F590,JetBlue,JFK,SFO,2024-07-07 02:14:00,2024-07-07,02:14:00,146,On-time,1255,5,0
F1014,American Airlines,LAX,DFW,2023-05-26 10:35:00,2023-05-26,10:35:00,156,On-time,1107,3,0
F472,Delta,SFO,ATL,2023-11-16 03:31:00,2023-11-16,03:31:00,145,Delayed,979,0,0
F1697,American Airlines,JFK,SEA,2023-12-07 12:28:00,2023-12-07,12:28:00,204,Delayed,985,9,0
F1043,United,SEA,LAX,2023-12-28 10:40:00,2023-12-28,10:40:00,155,On-time,832,2,1
F1965,American Airlines,DFW,LAX,2024-11-26 21:32:00,2024-11-26,21:32:00,237,On-time,1775,6,1
F1475,United,ATL,ORD,2024-04-29 05:54:00,2024-04-29,05:54:00,140,On-time,1306,6,0
F1349,United,SEA,ORD,2023-07-31 01:34:00,2023-07-31,01:34:00,117,On-time,1450,3,0
F539,American Airlines,DFW,DEN,2024-10-27 11:28:00,2024-10-27,11:28:00,252,On-time,1480,1,0
F1332,Southwest,LAX,SEA,2023-12-05 10:17:00,2023-12-05,10:17:00,208,Cancelled,1130,12,0
F940,American Airlines,JFK,SEA,2024-06-22 04:31:00,2024-06-22,04:31:00,264,Delayed,1103,5,0
F913,United,ATL,ATL,2025-04-11 17:28:00,2025-04-11,17:28:00,94,On-time,1395,22,0
F1539,American Airlines,SEA,ORD,2024-02-16 15:15:00,2024-02-16,15:15:00,200,On-time,1294,7,0
F1437,JetBlue,SFO,ORD,2023-07-19 21:38:00,2023-07-19,21:38:00,164,On-time,1125,0,0
F345,JetBlue,SFO,LAX,2024-04-03 23:05:00,2024-04-03,23:05:00,189,On-time,837,11,0
F349,JetBlue,LAX,LAX,2023-05-11 17:08:00,2023-05-11,17:08:00,191,On-time,1288,6,1
F747,United,JFK,SFO,2023-07-08 15:21:00,2023-07-08,15:21:00,255,On-time,1044,1,0
F1572,American Airlines,LAX,SFO,2024-12-26 00:15:00,2024-12-26,00:15:00,132,On-time,935,13,0
F33,Delta,ORD,SFO,2024-07-19 18:07:00,2024-07-19,18:07:00,168,On-time,1251,8,1
F1202,JetBlue,DFW,ORD,2024-01-28 10:20:00,2024-01-28,10:20:00,143,On-time,1496,27,0
F1672,Southwest,DEN,SFO,2025-04-11 15:06:00,2025-04-11,15:06:00,188,On-time,1352,12,0
F101,JetBlue,ORD,DFW,2023-05-21 20:12:00,2023-05-21,20:12:00,152,On-time,1072,19,0
F1632,Southwest,ATL,ATL,2023-12-09 20:31:00,2023-12-09,20:31:00,172,On-time,1369,37,0
F367,Delta,DFW,SEA,2023-06-28 15:51:00,2023-06-28,15:51:00,252,On-time,615,3,0
F467,Southwest,ATL,DEN,2024-05-12 00:28:00,2024-05-12,00:28:00,145,Delayed,1025,18,0
F1873,JetBlue,DFW,LAX,2024-11-04 05:44:00,2024-11-04,05:44:00,181,On-time,1249,6,0
F1775,United,ORD,ATL,2024-07-19 14:07:00,2024-07-19,14:07:00,204,On-time,1568,4,0
F1924,JetBlue,LAX,ORD,2024-06-06 13:14:00,2024-06-06,13:14:00,319,On-time,1294,3,0
F1557,United,SEA,DFW,2023-10-03 09:15:00,2023-10-03,09:15:00,225,On-time,1136,13,1
F1675,JetBlue,ATL,DFW,2023-11-12 11:19:00,2023-11-12,11:19:00,203,On-time,1780,7,1
F1414,Delta,DFW,JFK,2024-02-26 08:20:00,2024-02-26,08:20:00,181,Cancelled,725,19,0
F56,American Airlines,ATL,ORD,2024-06-06 18:03:00,2024-06-06,18:03:00,172,On-time,1488,11,0
F437,Southwest,LAX,DFW,2023-09-22 02:27:00,2023-09-22,02:27:00,283,On-time,1529,7,1
F782,American Airlines,DFW,LAX,2024-12-04 11:48:00,2024-12-04,11:48:00,178,On-time,1387,1,0
F1880,Southwest,JFK,SFO,2024-02-22 13:48:00,2024-02-22,13:48:00,197,On-time,1491,5,0
F1236,American Airlines,ATL,SEA,2024-07-05 00:20:00,2024-07-05,00:20:00,160,On-time,1302,3,0
F1015,American Airlines,LAX,SFO,2024-06-13 07:10:00,2024-06-13,07:10:00,132,On-time,968,13,0
F1695,Southwest,ATL,ORD,2024-04-20 21:25:00,2024-04-20,21:25:00,205,On-time,1029,0,0
F1166,American Airlines,ORD,JFK,2025-03-17 12:41:00,2025-03-17,12:41:00,223,Delayed,1326,12,0
F1027,American Airlines,ORD,LAX,2025-04-15 21:43:00,2025-04-15,21:43:00,169,On-time,777,4,0
F43,United,LAX,DFW,2024-05-15 08:06:00,2024-05-15,08:06:00,167,On-time,1222,1,0
F1017,American Airlines,SFO,LAX,2024-05-30 14:31:00,2024-05-30,14:31:00,127,On-time,1027,16,0
F1990,American Airlines,DEN,DFW,2023-09-21 09:17:00,2023-09-21,09:17:00,224,Delayed,1126,5,0
F1336,Southwest,ORD,DEN,2024-09-04 11:42:00,2024-09-04,11:42:00,442,On-time,1470,17,0
F1555,Delta,SEA,JFK,2025-01-31 00:06:00,2025-01-31,00:06:00,38,On-time,907,14,0
F1492,American Airlines,SEA,ORD,2024-05-01 05:49:00,2024-05-01,05:49:00,228,On-time,812,1,0
F711,Delta,SFO,DEN,2023-09-17 21:47:00,2023-09-17,21:47:00,154,On-time,1562,0,1
F506,American Airlines,LAX,DFW,2023-10-28 03:30:00,2023-10-28,03:30:00,266,Delayed,1076,3,0
F295,Delta,DFW,SFO,2023-11-15 04:47:00,2023-11-15,04:47:00,192,Delayed,897,2,0
F1817,Southwest,ATL,LAX,2023-08-06 20:00:00,2023-08-06,20:00:00,146,On-time,1142,2,0
F689,United,SEA,SEA,2024-03-11 03:28:00,2024-03-11,03:28:00,252,On-time,1434,1,0
F107,American Airlines,LAX,SEA,2023-11-01 18:48:00,2023-11-01,18:48:00,170,On-time,1597,5,1
F1311,Southwest,LAX,JFK,2024-06-06 11:05:00,2024-06-06,11:05:00,201,On-time,734,8,0
F596,Southwest,ORD,ORD,2023-05-04 10:04:00,2023-05-04,10:04:00,208,On-time,754,10,0
F633,American Airlines,DEN,ORD,2023-10-25 12:58:00,2023-10-25,12:58:00,171,Cancelled,1144,8,0
F1834,American Airlines,SFO,ORD,2023-12-13 06:42:00,2023-12-13,06:42:00,211,Cancelled,1127,7,0
F741,American Airlines,SFO,DFW,2025-01-14 22:13:00,2025-01-14,22:13:00,124,Delayed,1497,2,0
F366,Southwest,LAX,LAX,2024-07-19 22:41:00,2024-07-19,22:41:00,270,Delayed,1538,4,0
F521,Southwest,DFW,SEA,2024-09-21 17:44:00,2024-09-21,17:44:00,224,On-time,966,9,1
F282,Southwest,JFK,ORD,2024-10-02 23:58:00,2024-10-02,23:58:00,169,Delayed,1395,20,0
F154,United,DEN,LAX,2023-07-08 17:03:00,2023-07-08,17:03:00,29,On-time,1013,6,1
F1047,American Airlines,DEN,SFO,2024-07-14 14:59:00,2024-07-14,14:59:00,255,On-time,1494,27,0
F90,Delta,ORD,DEN,2024-11-22 00:14:00,2024-11-22,00:14:00,179,On-time,1351,6,0
F662,United,ORD,SFO,2023-08-28 22:01:00,2023-08-28,22:01:00,190,Delayed,1198,7,0
F943,United,ATL,ATL,2023-04-26 02:26:00,2023-04-26,02:26:00,151,On-time,1629,1,0
F586,Delta,LAX,SFO,2024-04-06 15:54:00,2024-04-06,15:54:00,171,Delayed,716,4,0
F1882,American Airlines,ATL,ORD,2023-06-16 06:17:00,2023-06-16,06:17:00,201,On-time,1688,6,0
F1408,United,SEA,DEN,2024-06-07 09:49:00,2024-06-07,09:49:00,163,On-time,1063,5,0
F416,American Airlines,SFO,JFK,2023-11-19 12:52:00,2023-11-19,12:52:00,177,Cancelled,1191,6,1
F1073,JetBlue,ATL,ORD,2024-11-04 00:51:00,2024-11-04,00:51:00,185,On-time,878,25,0
F1958,United,ORD,DFW,2023-05-09 07:14:00,2023-05-09,07:14:00,183,On-time,808,16,0
F1774,Delta,DEN,LAX,2024-01-04 00:15:00,2024-01-04,00:15:00,181,Cancelled,1206,1,0
F420,United,JFK,JFK,2024-06-13 01:35:00,2024-06-13,01:35:00,342,On-time,1227,15,0
F744,Delta,LAX,JFK,2024-10-15 18:08:00,2024-10-15,18:08:00,116,On-time,2045,12,0
F284,Southwest,ORD,JFK,2023-08-25 17:27:00,2023-08-25,17:27:00,92,On-time,1537,2,0
F175,JetBlue,JFK,ATL,2025-02-28 05:02:00,2025-02-28,05:02:00,61,On-time,1504,9,1
F1856,United,ATL,JFK,2023-09-21 23:49:00,2023-09-21,23:49:00,163,On-time,898,2,0
F228,JetBlue,SFO,DFW,2024-03-10 08:11:00,2024-03-10,08:11:00,108,Delayed,1374,18,0
F1550,Delta,DEN,JFK,2025-02-27 01:24:00,2025-02-27,01:24:00,254,On-time,1292,47,0
F931,Delta,ORD,LAX,2024-03-01 00:12:00,2024-03-01,00:12:00,115,On-time,1069,0,0
F1658,JetBlue,DFW,ATL,2023-04-27 21:41:00,2023-04-27,21:41:00,150,On-time,750,56,0
F551,United,SEA,SFO,2024-03-05 21:33:00,2024-03-05,21:33:00,262,On-time,2087,17,1
F1278,Southwest,SFO,JFK,2024-04-21 00:34:00,2024-04-21,00:34:00,113,Delayed,893,6,0
F1650,United,JFK,SFO,2025-03-16 11:09:00,2025-03-16,11:09:00,241,On-time,659,5,0
F1884,American Airlines,ORD,ORD,2025-01-15 20:23:00,2025-01-15,20:23:00,160,On-time,992,11,0
F620,United,LAX,JFK,2024-12-09 23:40:00,2024-12-09,23:40:00,142,On-time,928,10,0
F1480,JetBlue,DEN,ATL,2025-01-26 22:48:00,2025-01-26,22:48:00,74,On-time,1395,7,0
F729,Southwest,ATL,DFW,2024-12-03 03:01:00,2024-12-03,03:01:00,162,On-time,1881,17,1
F1765,American Airlines,ORD,ATL,2023-07-27 06:57:00,2023-07-27,06:57:00,155,On-time,1362,14,0
F89,Southwest,LAX,DFW,2025-01-19 16:04:00,2025-01-19,16:04:00,177,Delayed,571,15,1
F1140,American Airlines,SEA,JFK,2024-07-08 06:03:00,2024-07-08,06:03:00,250,On-time,1537,31,0
F434,Southwest,SFO,JFK,2024-11-26 06:59:00,2024-11-26,06:59:00,140,On-time,892,8,1
F1773,United,ORD,ORD,2023-09-24 19:08:00,2023-09-24,19:08:00,168,On-time,1137,7,1
F1443,JetBlue,LAX,ATL,2024-02-14 20:17:00,2024-02-14,20:17:00,118,On-time,940,8,0
F1522,JetBlue,ATL,LAX,2024-07-31 18:09:00,2024-07-31,18:09:00,59,On-time,1020,24,0
F923,JetBlue,SFO,LAX,2023-09-27 03:56:00,2023-09-27,03:56:00,118,On-time,1179,8,0
F1088,United,ORD,LAX,2024-10-07 02:05:00,2024-10-07,02:05:00,101,On-time,1046,2,0
F1848,United,SEA,DFW,2024-11-25 14:38:00,2024-11-25,14:38:00,255,On-time,796,8,0
F501,Delta,ATL,SFO,2024-07-10 14:10:00,2024-07-10,14:10:00,296,On-time,1285,10,0
F1823,Southwest,ATL,ATL,2024-07-23 09:59:00,2024-07-23,09:59:00,182,On-time,866,4,0
F1175,United,JFK,SEA,2024-05-30 13:35:00,2024-05-30,13:35:00,266,On-time,1115,3,0
F96,United,DEN,LAX,2024-04-17 18:12:00,2024-04-17,18:12:00,248,On-time,1192,9,0
F136,Southwest,DEN,JFK,2024-04-26 15:14:00,2024-04-26,15:14:00,112,Cancelled,1024,18,0
F1947,United,ATL,LAX,2024-05-09 17:03:00,2024-05-09,17:03:00,212,On-time,898,4,0
F1186,United,DEN,ATL,2024-11-02 01:50:00,2024-11-02,01:50:00,158,On-time,1534,18,1
F1294,Delta,ORD,SEA,2024-11-21 03:44:00,2024-11-21,03:44:00,107,Delayed,390,32,0
F545,JetBlue,JFK,LAX,2025-03-08 15:43:00,2025-03-08,15:43:00,226,On-time,806,27,0
F1962,American Airlines,DFW,ATL,2023-11-21 20:57:00,2023-11-21,20:57:00,108,On-time,1068,7,1
F1795,Southwest,DFW,SEA,2023-06-08 10:55:00,2023-06-08,10:55:00,179,On-time,1277,7,0
F1872,JetBlue,JFK,DFW,2023-08-24 15:25:00,2023-08-24,15:25:00,143,On-time,1505,11,0
F564,Southwest,SEA,JFK,2023-09-05 22:11:00,2023-09-05,22:11:00,190,On-time,1030,7,0
F1238,Delta,DEN,ATL,2023-06-03 14:45:00,2023-06-03,14:45:00,232,On-time,935,1,1
F594,JetBlue,DFW,JFK,2023-10-11 14:27:00,2023-10-11,14:27:00,263,On-time,1374,16,1
F255,Southwest,DEN,JFK,2025-04-06 17:42:00,2025-04-06,17:42:00,37,On-time,1125,5,1
F1260,Delta,JFK,SEA,2023-08-25 16:52:00,2023-08-25,16:52:00,200,On-time,1377,12,0
F664,JetBlue,DEN,DFW,2023-05-07 15:54:00,2023-05-07,15:54:00,183,Cancelled,1300,13,1
F455,JetBlue,DEN,LAX,2025-03-19 12:24:00,2025-03-19,12:24:00,229,On-time,905,1,0
F1783,Delta,JFK,DFW,2023-10-19 00:49:00,2023-10-19,00:49:00,138,On-time,962,0,0
F1032,JetBlue,DEN,ORD,2025-02-16 03:18:00,2025-02-16,03:18:00,249,On-time,1383,7,0
F1573,American Airlines,ORD,ORD,2023-05-18 07:28:00,2023-05-18,07:28:00,225,On-time,1138,12,0
F1455,Delta,ORD,ORD,2024-08-12 03:59:00,2024-08-12,03:59:00,158,On-time,1593,3,0
F1310,Southwest,LAX,DFW,2024-07-12 11:55:00,2024-07-12,11:55:00,224,On-time,1565,13,1
F1159,Delta,DEN,LAX,2024-05-15 15:58:00,2024-05-15,15:58:00,223,On-time,1496,14,1
F1529,Southwest,ORD,SEA,2024-07-06 17:01:00,2024-07-06,17:01:00,168,On-time,1611,15,1
F1585,JetBlue,JFK,LAX,2023-09-17 20:49:00,2023-09-17,20:49:00,208,On-time,1496,7,0
F686,American Airlines,DEN,JFK,2023-07-09 21:29:00,2023-07-09,21:29:00,53,On-time,958,18,0
F1473,JetBlue,SEA,DFW,2023-12-27 14:08:00,2023-12-27,14:08:00,162,Delayed,1417,1,0
F1505,American Airlines,SEA,SEA,2023-08-26 22:13:00,2023-08-26,22:13:00,126,On-time,956,7,0
F1280,JetBlue,SEA,DEN,2023-05-28 02:26:00,2023-05-28,02:26:00,40,On-time,1439,6,0
F1594,Delta,DEN,ATL,2024-08-19 01:13:00,2024-08-19,01:13:00,139,On-time,1450,5,0
F1576,Delta,LAX,SFO,2023-08-04 12:59:00,2023-08-04,12:59:00,174,On-time,1397,14,0
F1523,Delta,LAX,ORD,2025-02-02 01:57:00,2025-02-02,01:57:00,135,Delayed,368,12,1
F1741,Southwest,DFW,ORD,2024-01-17 14:50:00,2024-01-17,14:50:00,211,On-time,834,2,0
F934,Southwest,DEN,DFW,2024-06-27 23:25:00,2024-06-27,23:25:00,173,On-time,1683,7,0
F1331,United,SEA,JFK,2024-07-29 10:43:00,2024-07-29,10:43:00,149,On-time,1770,19,1
F147,Southwest,DEN,DFW,2023-06-18 10:00:00,2023-06-18,10:00:00,238,On-time,907,15,0
F864,American Airlines,DEN,SFO,2024-12-20 13:36:00,2024-12-20,13:36:00,185,On-time,1041,1,0
F1835,Southwest,ORD,LAX,2025-01-25 13:48:00,2025-01-25,13:48:00,159,On-time,1327,4,1
