Passenger_ID,Flight_ID,Price_USD,Travel_Purpose,Seat_Class,Bags_Checked,Check_in_Method,Seat_Selected,Booking_Days_In_Advance,No_Show
P34,F186,270.02,Family,Premium Economy,1,Online,Middle,7,0
P35,F699,403.37,Family,Economy,0,Desk,Middle,96,0
P36,F215,430.53,Family,Economy,1,Airport Kiosk,Middle,90,0
P37,F1221,284.82,Emergency,Economy,0,Airport Kiosk,Middle,43,0
P38,F117,292.8,Leisure,Economy,1,Mobile App,Middle,34,0
P39,F807,497.05,Leisure,Economy,0,Mobile App,Window,63,0
P40,F657,325.8,Emergency,Economy,2,Mobile App,Aisle,79,0
P41,F1353,239.45,Family,Economy,1,Desk,Middle,92,0
P42,F1179,370.34,Business,Economy,2,Desk,Middle,107,0
P43,F1036,398.66,Leisure,Economy,1,Mobile App,Window,70,0
P44,F229,466.83,Emergency,Business,1,Mobile App,Middle,88,0
P45,F1553,320.68,Leisure,Economy,1,Mobile App,Window,68,0
P46,F1759,352.61,Leisure,Economy,1,Mobile App,Middle,12,0
P47,F726,315.38,Business,Premium Economy,1,Online,Middle,48,0
P48,F121,449.12,Family,Economy,0,Airport Kiosk,Middle,115,0
P49,F1441,219.72,Family,Premium Economy,2,Airport Kiosk,Middle,26,0
P50,F1698,122.7,Emergency,Economy,0,Mobile App,Middle,112,0
P51,F362,375.59,Business,Economy,2,Online,Window,6,0
P52,F1577,229.09,Leisure,Premium Economy,0,Online,Window,109,0
P53,F670,467.72,Family,Premium Economy,4,Airport Kiosk,Window,64,0
P54,F1540,552.38,Business,Business,2,Desk,Aisle,6,0
P55,F1222,477.94,Emergency,Economy,1,Airport Kiosk,Window,18,0
P56,F1537,229.74,Family,Economy,1,Online,Aisle,102,0
P57,F1982,234.94,Leisure,Economy,1,Online,Window,42,0
P58,F1995,429.73,Leisure,Economy,3,Online,Middle,97,0
P59,F571,199.88,Family,Economy,1,Online,Window,41,0
P60,F1972,361.13,Emergency,Premium Economy,1,Online,Window,83,0
P61,F959,359.21,Leisure,Premium Economy,0,Online,Middle,6,0
P62,F237,422.63,Family,Economy,1,Mobile App,Aisle,92,0
P63,F1,250.22,Emergency,Premium Economy,0,Desk,Aisle,81,1
P64,F444,456.75,Business,Premium Economy,2,Mobile App,Middle,95,0
P65,F1874,353.16,Business,Premium Economy,0,Mobile App,Window,6,0
P66,F109,366.41,Business,Economy,1,Desk,Window,79,0
P67,F530,376.59,Business,Economy,1,Online,Middle,21,0
P68,F1668,234.32,Business,Premium Economy,3,Online,Window,99,0
P69,F751,295.42,Leisure,Premium Economy,3,Desk,Window,13,0
P70,F1731,179.04,Family,Economy,0,Desk,Aisle,58,0
P71,F1956,358.52,Emergency,Economy,3,Online,Middle,51,0
P72,F899,324.11,Leisure,Economy,0,Mobile App,Middle,63,0
P73,F1648,382.08,Leisure,Economy,1,Mobile App,Window,66,0
P74,F771,353.37,Family,Economy,0,Online,Window,116,0
P75,F826,442.67,Business,Premium Economy,0,Mobile App,Window,80,0
P76,F1892,273.51,Business,Premium Economy,0,Online,Middle,51,0
P77,F1831,262.13,Family,Premium Economy,1,Desk,Aisle,63,0
P78,F1272,438.25,Emergency,Economy,1,Mobile App,Aisle,32,0
P79,F1993,339.86,Leisure,Economy,1,Mobile App,Window,19,0
P80,F1742,440.78,Business,Economy,4,Online,Middle,9,0
P81,F1367,273.8,Emergency,Business,0,Online,Middle,21,0
P82,F740,538.42,Leisure,Premium Economy,0,Desk,Middle,64,0
P83,F36,316.76,Family,Economy,0,Desk,Middle,14,0
P84,F1141,285.22,Emergency,Premium Economy,1,Desk,Aisle,23,0
P85,F582,353.57,Leisure,Economy,1,Desk,Window,119,0
P86,F660,451.07,Family,Economy,2,Airport Kiosk,Middle,69,0
P87,F832,294.39,Emergency,Economy,2,Online,Window,47,0
P88,F1776,270.98,Business,Economy,2,Airport Kiosk,Window,27,1
P89,F495,409.72,Family,Economy,1,Airport Kiosk,Aisle,22,0
P90,F405,334.44,Business,Economy,1,Online,Aisle,115,0
P91,F60,286.77,Emergency,Economy,2,Mobile App,Aisle,99,0
P92,F1659,457.72,Business,Economy,1,Mobile App,Aisle,29,0
P93,F589,327.74,Leisure,Premium Economy,0,Mobile App,Window,20,0
P94,F116,347.0,Business,Economy,2,Online,Window,28,0
P95,F159,258.18,Leisure,Economy,0,Online,Middle,101,0
P96,F1291,412.23,Emergency,Business,0,Desk,Middle,108,0
P97,F1829,400.97,Emergency,Economy,1,Mobile App,Middle,21,0
P98,F561,274.51,Family,Economy,0,Online,Aisle,90,0
P99,F1104,364.28,Leisure,Business,1,Mobile App,Aisle,111,0
P100,F619,265.69,Emergency,Economy,1,Mobile App,Middle,85,0
P101,F146,492.83,Business,Economy,0,Airport Kiosk,Aisle,38,0
P102,F1655,435.41,Emergency,First,3,Online,Window,101,0
P103,F542,204.43,Leisure,Economy,1,Mobile App,Middle,12,0
P104,F121,261.46,Leisure,Economy,1,Mobile App,Window,36,0
P105,F1320,235.2,Emergency,First,4,Airport Kiosk,Window,57,0
P106,F866,350.71,Leisure,Economy,1,Desk,Window,89,0
P107,F292,195.0,Emergency,Economy,4,Airport Kiosk,Aisle,4,0
P108,F1328,220.59,Family,Economy,2,Airport Kiosk,Middle,116,0
P109,F910,305.67,Leisure,Economy,1,Mobile App,Window,104,0
P110,F15,260.88,Emergency,Economy,1,Desk,Middle,50,0
P111,F249,311.31,Family,Economy,1,Mobile App,Aisle,60,1
P112,F967,342.85,Business,Premium Economy,3,Airport Kiosk,Middle,21,0
P113,F894,506.77,Family,Business,5,Airport Kiosk,Aisle,79,0
P114,F1596,329.48,Emergency,Economy,2,Desk,Middle,8,0
P115,F1029,249.95,Business,Premium Economy,0,Online,Aisle,55,0
P116,F590,455.03,Business,Business,0,Airport Kiosk,Middle,66,0
P117,F1014,300.33,Emergency,Economy,1,Desk,Aisle,58,1
P118,F472,363.47,Leisure,Economy,2,Airport Kiosk,Window,24,1
P119,F1697,151.12,Leisure,Economy,1,Desk,Window,17,0
P120,F1043,344.5,Family,Economy,1,Mobile App,Aisle,27,0
P121,F1965,384.83,Emergency,Economy,0,Mobile App,Aisle,67,0
P122,F1475,128.22,Leisure,Premium Economy,3,Mobile App,Window,101,0
P123,F1349,260.06,Family,Premium Economy,1,Desk,Aisle,9,0
P124,F539,546.65,Family,Economy,1,Online,Aisle,43,0
P125,F1332,333.91,Leisure,Economy,1,Online,Aisle,98,0
P126,F940,177.53,Family,Economy,2,Mobile App,Window,99,0
P127,F913,402.89,Leisure,Economy,3,Online,Middle,117,0
P128,F1539,428.48,Emergency,Business,3,Mobile App,Middle,7,0
P129,F1437,316.42,Emergency,Economy,0,Online,Aisle,39,0
P130,F345,473.92,Emergency,Business,3,Online,Aisle,86,0
P131,F349,532.86,Business,Economy,1,Mobile App,Window,104,0
P132,F747,382.4,Family,Economy,1,Desk,Window,2,0
P133,F1572,294.25,Leisure,Premium Economy,2,Mobile App,Aisle,78,0
P134,F33,374.44,Family,Economy,2,Airport Kiosk,Aisle,7,0
P135,F1202,245.25,Family,Economy,2,Online,Aisle,104,0
P136,F1104,330.76,Leisure,Premium Economy,0,Mobile App,Middle,23,0
P137,F1672,476.48,Leisure,Economy,2,Desk,Window,100,0
P138,F36,339.92,Leisure,Economy,0,Desk,Window,119,0
P139,F101,285.5,Emergency,Business,1,Airport Kiosk,Window,118,0
P140,F1632,298.4,Business,Business,1,Desk,Window,22,0
P141,F367,168.01,Leisure,Premium Economy,1,Online,Middle,53,1
P142,F467,418.9,Leisure,Premium Economy,3,Mobile App,Window,107,0
P143,F1873,176.04,Leisure,Economy,3,Mobile App,Aisle,45,0
P144,F1775,339.62,Leisure,Economy,1,Online,Aisle,58,0
P145,F1924,388.28,Family,Economy,0,Online,Aisle,78,0
P146,F1557,303.95,Emergency,Premium Economy,1,Airport Kiosk,Aisle,72,0
P147,F1675,203.9,Family,Economy,3,Mobile App,Middle,70,0
P148,F1414,272.76,Emergency,Business,1,Airport Kiosk,Aisle,27,0
P149,F56,275.29,Business,Business,1,Online,Middle,90,0
P150,F437,296.31,Family,Economy,1,Mobile App,Middle,63,0
P151,F782,441.05,Family,Economy,3,Mobile App,Aisle,103,0
P152,F1880,575.18,Business,Economy,1,Mobile App,Middle,60,0
P153,F1236,286.41,Emergency,Economy,1,Desk,Middle,68,0
P154,F1015,317.33,Business,Premium Economy,1,Desk,Aisle,56,0
P155,F1695,449.3,Leisure,Economy,2,Airport Kiosk,Aisle,104,0
P156,F1166,291.85,Leisure,Economy,1,Mobile App,Window,70,0
P157,F1027,361.79,Leisure,Business,2,Airport Kiosk,Aisle,112,0
P158,F43,377.84,Emergency,Premium Economy,1,Online,Aisle,54,0
P159,F1017,491.89,Family,Economy,0,Airport Kiosk,Aisle,35,0
P160,F1990,535.81,Emergency,Premium Economy,2,Online,Aisle,34,0
P161,F1336,342.95,Emergency,Economy,1,Desk,Middle,89,0
P162,F1555,476.42,Family,Economy,3,Mobile App,Window,80,0
P163,F807,542.25,Business,Economy,0,Mobile App,Middle,42,0
P164,F1492,414.87,Leisure,Premium Economy,0,Desk,Middle,25,0
P165,F711,376.6,Business,Premium Economy,2,Airport Kiosk,Aisle,77,0
P166,F506,172.37,Leisure,Economy,2,Airport Kiosk,Middle,100,0
P167,F295,204.79,Emergency,Premium Economy,1,Airport Kiosk,Middle,31,0
P168,F1817,456.89,Business,Economy,2,Airport Kiosk,Middle,41,0
P169,F689,318.63,Leisure,Economy,1,Mobile App,Window,2,0
P170,F107,426.62,Leisure,Economy,1,Airport Kiosk,Aisle,17,0
P171,F1311,281.07,Emergency,Economy,0,Airport Kiosk,Aisle,100,0
P172,F596,148.59,Family,Economy,2,Desk,Middle,41,0
P173,F633,423.02,Emergency,Premium Economy,2,Desk,Middle,93,0
P174,F1834,316.21,Leisure,Business,1,Mobile App,Aisle,72,0
P175,F741,594.87,Leisure,Economy,0,Mobile App,Window,119,0
P176,F366,332.03,Family,Premium Economy,1,Airport Kiosk,Aisle,68,0
P177,F521,100.44,Emergency,Economy,2,Online,Aisle,1,0
P178,F282,227.81,Business,Premium Economy,1,Mobile App,Aisle,19,0
P179,F154,316.0,Leisure,Economy,3,Mobile App,Aisle,72,0
P180,F1047,428.84,Emergency,Premium Economy,4,Mobile App,Window,85,0
P181,F90,467.42,Emergency,Business,1,Mobile App,Middle,93,0
P182,F662,645.14,Leisure,Premium Economy,0,Airport Kiosk,Window,15,0
P183,F943,391.74,Family,Premium Economy,0,Airport Kiosk,Middle,102,0
P184,F1311,380.6,Emergency,Economy,1,Online,Aisle,83,0
P185,F586,491.71,Business,Economy,1,Airport Kiosk,Aisle,48,0
P186,F1882,293.74,Family,Premium Economy,2,Desk,Aisle,68,0
P187,F1408,168.45,Business,Business,0,Airport Kiosk,Window,69,0
P188,F416,492.99,Emergency,Business,0,Online,Middle,100,0
P189,F1073,155.67,Emergency,Business,1,Online,Window,106,0
P190,F1958,486.76,Leisure,Business,0,Desk,Middle,103,0
P191,F1774,466.06,Family,Economy,1,Desk,Middle,104,0
P192,F420,573.85,Emergency,Business,1,Mobile App,Window,50,0
P193,F744,330.79,Emergency,Economy,0,Online,Aisle,34,0
P194,F284,183.48,Business,Economy,1,Mobile App,Window,80,0
P195,F175,276.86,Leisure,Economy,0,Online,Window,28,0
P196,F1856,361.11,Leisure,Business,1,Airport Kiosk,Aisle,35,0
P197,F228,350.91,Leisure,Economy,0,Desk,Middle,97,0
P198,F1550,350.88,Leisure,Business,2,Mobile App,Window,99,0
P199,F931,541.6,Emergency,Business,1,Airport Kiosk,Middle,32,1
P200,F1658,347.27,Leisure,Economy,0,Mobile App,Aisle,115,0
P201,F551,368.93,Business,Business,1,Desk,Window,63,0
P202,F1278,392.44,Family,Business,2,Airport Kiosk,Middle,97,0
P203,F1650,306.74,Family,Economy,4,Desk,Aisle,71,0
P204,F1884,329.57,Leisure,First,2,Desk,Window,25,0
P205,F620,340.63,Family,Economy,1,Mobile App,Middle,35,0
P206,F1480,343.76,Emergency,Premium Economy,0,Airport Kiosk,Middle,32,0
P207,F729,240.82,Family,Premium Economy,0,Airport Kiosk,Window,58,0
P208,F1765,501.18,Family,Business,1,Online,Window,106,0
P209,F1043,317.6,Emergency,Business,1,Desk,Middle,20,0
P210,F89,277.69,Business,Premium Economy,1,Mobile App,Middle,64,0
P211,F1140,271.56,Family,Economy,0,Online,Window,88,0
P212,F434,335.52,Emergency,First,0,Airport Kiosk,Middle,82,0
P213,F1773,321.58,Family,Economy,1,Airport Kiosk,Middle,30,0
P214,F1443,415.92,Family,Economy,0,Desk,Window,23,0
P215,F1522,321.52,Business,Economy,2,Airport Kiosk,Aisle,82,0
P216,F923,368.32,Business,Economy,1,Desk,Aisle,95,0
P217,F1088,222.63,Business,Economy,1,Airport Kiosk,Window,5,0
P218,F1848,491.86,Emergency,Business,2,Desk,Aisle,93,0
P219,F501,354.81,Family,Economy,4,Airport Kiosk,Middle,13,0
P220,F1823,447.99,Family,First,1,Desk,Window,19,0
P221,F1175,410.42,Emergency,Economy,1,Online,Aisle,81,0
P222,F96,361.7,Business,Economy,2,Airport Kiosk,Aisle,6,0
P223,F136,216.76,Family,Economy,0,Mobile App,Middle,61,0
P224,F1947,399.35,Family,Economy,0,Desk,Middle,65,0
P225,F1186,364.89,Family,Premium Economy,1,Desk,Window,79,0
P226,F1294,395.99,Leisure,Economy,0,Online,Window,105,0
P227,F545,247.51,Leisure,Economy,0,Online,Window,75,0
P228,F1962,481.61,Leisure,Economy,1,Airport Kiosk,Window,34,0
P229,F1795,430.65,Family,Premium Economy,0,Online,Window,31,0
P230,F1872,478.22,Business,Premium Economy,0,Desk,Aisle,94,0
P231,F564,372.58,Family,Business,1,Airport Kiosk,Middle,94,0
P232,F1238,426.15,Emergency,First,0,Airport Kiosk,Middle,41,0
P233,F594,509.27,Business,Economy,0,Online,Aisle,42,0
P234,F255,319.31,Emergency,Economy,3,Online,Window,102,0
P235,F1260,530.7,Leisure,Premium Economy,4,Mobile App,Middle,12,0
P236,F664,183.33,Business,Economy,0,Desk,Window,24,0
P237,F455,245.2,Business,Economy,2,Airport Kiosk,Aisle,109,0
P238,F1783,226.61,Leisure,Economy,1,Airport Kiosk,Window,106,0
P239,F1032,466.01,Family,Economy,2,Mobile App,Aisle,117,0
P240,F1573,397.05,Leisure,Economy,1,Desk,Middle,32,0
P241,F1455,131.19,Leisure,Economy,0,Desk,Middle,69,0
P242,F1310,370.97,Leisure,Economy,0,Desk,Aisle,30,0
P243,F1236,129.25,Business,Economy,1,Mobile App,Window,56,0
P244,F1437,480.35,Business,Economy,0,Mobile App,Aisle,71,0
P245,F545,529.43,Emergency,Economy,3,Airport Kiosk,Middle,28,0
P246,F1159,202.34,Emergency,Economy,1,Online,Middle,43,0
P247,F1529,239.62,Business,Premium Economy,1,Mobile App,Aisle,48,0
P248,F1585,346.45,Business,Economy,0,Desk,Window,4,0
P249,F686,556.49,Family,Economy,2,Desk,Window,96,0
P250,F1473,381.31,Leisure,Premium Economy,0,Airport Kiosk,Window,100,0
P251,F1505,466.09,Leisure,Business,0,Desk,Middle,19,0
P252,F1280,306.51,Emergency,Economy,1,Online,Aisle,59,0
P253,F590,415.68,Business,Economy,0,Airport Kiosk,Middle,109,1
P254,F1594,231.24,Emergency,Premium Economy,0,Airport Kiosk,Middle,73,0
P255,F1817,294.32,Business,Economy,2,Online,Middle,88,0
P256,F1328,204.67,Family,Business,0,Airport Kiosk,Window,61,1
P257,F1576,442.68,Business,Economy,0,Mobile App,Middle,24,0
P258,F1523,308.44,Emergency,Economy,1,Airport Kiosk,Window,99,0
P259,F1741,342.63,Family,Economy,0,Mobile App,Middle,100,0
P260,F1272,303.37,Business,Premium Economy,1,Desk,Window,2,0
P261,F1310,433.22,Business,Business,2,Mobile App,Window,82,1
P262,F934,177.51,Business,Economy,1,Desk,Aisle,24,0
P263,F532,407.11,Business,Economy,2,Mobile App,Aisle,10,0
P264,F1331,329.35,Family,Economy,0,Desk,Aisle,23,0
P265,F147,346.56,Family,Economy,1,Desk,Window,83,0
P266,F864,313.41,Emergency,Economy,0,Desk,Aisle,3,0
P267,F1835,497.17,Leisure,Economy,1,Mobile App,Window,36,0
P268,F580,430.89,Leisure,Economy,1,Desk,Window,6,0
P269,F1823,509.08,Business,Economy,0,Online,Window,7,0
P270,F325,307.42,Family,Premium Economy,0,Airport Kiosk,Aisle,75,0
P271,F1701,293.08,Leisure,Economy,1,Mobile App,Aisle,108,0
P272,F1329,579.91,Emergency,Economy,0,Airport Kiosk,Window,43,0
P273,F1263,527.53,Business,Economy,1,Online,Window,115,0
P274,F1980,294.64,Family,Premium Economy,1,Airport Kiosk,Aisle,61,0
P275,F1334,216.0,Emergency,First,0,Online,Window,19,0
P276,F669,344.52,Emergency,Premium Economy,0,Online,Aisle,2,0
P277,F1407,362.04,Leisure,Business,0,Desk,Window,79,0
P278,F58,448.93,Family,Economy,0,Mobile App,Middle,8,0
P279,F938,322.53,Family,Economy,1,Desk,Window,75,0
P280,F899,595.33,Family,Economy,0,Mobile App,Window,46,0
P281,F697,403.06,Emergency,Economy,1,Desk,Window,66,0
P282,F945,366.78,Family,Business,2,Mobile App,Middle,48,0
P283,F1201,304.33,Business,Economy,1,Airport Kiosk,Middle,117,0
P284,F1956,439.19,Business,Premium Economy,1,Mobile App,Aisle,76,0
P285,F1033,404.69,Emergency,Business,0,Mobile App,Middle,87,0
P286,F1063,311.14,Leisure,Premium Economy,3,Airport Kiosk,Aisle,99,0
P287,F1532,337.34,Emergency,Business,1,Online,Middle,106,0
P288,F982,407.83,Leisure,First,1,Online,Window,28,0
P289,F1403,380.63,Leisure,Premium Economy,1,Mobile App,Window,6,0
P290,F704,272.47,Family,Economy,1,Online,Middle,48,0
P291,F303,229.64,Business,Economy,2,Mobile App,Window,49,0
P292,F1191,271.94,Emergency,Economy,1,Online,Window,114,0
P293,F185,400.08,Business,Economy,2,Mobile App,Middle,73,0
P294,F1569,416.95,Family,Economy,2,Desk,Aisle,26,0
P295,F1813,392.71,Family,Business,0,Desk,Middle,56,0
P296,F888,341.13,Family,Economy,0,Online,Middle,37,0
P297,F371,550.74,Family,Economy,2,Desk,Aisle,117,0
P298,F1622,285.89,Leisure,Economy,2,Mobile App,Aisle,58,1
P299,F1995,420.03,Emergency,Economy,0,Desk,Window,43,0
P300,F950,274.98,Leisure,Premium Economy,2,Mobile App,Aisle,52,1
P301,F409,220.14,Business,Economy,2,Mobile App,Aisle,89,0
P302,F1871,366.03,Business,Business,2,Mobile App,Aisle,82,0
P303,F1495,408.12,Family,Economy,0,Desk,Aisle,37,0
P304,F1437,163.66,Emergency,First,1,Airport Kiosk,Middle,53,0
P305,F1238,298.91,Emergency,Economy,2,Online,Window,67,0
P306,F1801,413.69,Emergency,Economy,2,Mobile App,Aisle,94,0
P307,F1004,189.04,Leisure,Business,0,Airport Kiosk,Aisle,62,0
P308,F290,386.37,Business,Economy,3,Desk,Aisle,81,0
P309,F132,431.26,Business,Economy,0,Mobile App,Aisle,63,0
P310,F401,422.83,Family,Economy,0,Desk,Middle,59,0
P311,F1638,371.82,Leisure,Business,1,Desk,Aisle,92,0
P312,F889,305.94,Business,Business,1,Desk,Middle,49,0
P313,F818,403.6,Leisure,Premium Economy,0,Online,Middle,32,0
P314,F549,522.67,Leisure,Economy,1,Online,Window,109,0
P315,F1453,567.9,Family,Business,0,Online,Middle,41,0
P316,F1112,533.32,Leisure,Economy,0,Airport Kiosk,Window,72,0
P317,F86,302.44,Family,Economy,1,Online,Window,4,0
P318,F1721,426.86,Family,Economy,0,Desk,Aisle,112,0
P319,F91,302.9,Leisure,Premium Economy,0,Airport Kiosk,Middle,19,0
P320,F280,372.33,Family,Economy,0,Airport Kiosk,Window,108,0
P321,F1347,419.23,Family,Business,3,Airport Kiosk,Aisle,86,0
P322,F285,304.43,Family,Economy,1,Mobile App,Window,49,0
P323,F1184,393.92,Leisure,Economy,2,Online,Middle,81,0
P324,F1997,325.7,Business,Premium Economy,0,Mobile App,Middle,104,0
P325,F551,541.42,Leisure,Economy,1,Desk,Window,119,0
P326,F173,588.47,Family,Economy,0,Online,Middle,77,0
P327,F1780,309.76,Emergency,Economy,1,Airport Kiosk,Window,119,0
P328,F676,353.18,Emergency,Economy,0,Online,Window,0,0
P329,F209,303.93,Business,Economy,0,Mobile App,Window,96,0
P330,F1351,344.44,Leisure,Business,2,Airport Kiosk,Middle,30,0
P331,F854,248.5,Emergency,Premium Economy,0,Mobile App,Middle,109,0
P332,F605,233.47,Family,Premium Economy,3,Airport Kiosk,Middle,53,0
P333,F1781,262.24,Business,Business,0,Desk,Window,20,0
P334,F625,268.55,Leisure,Economy,1,Airport Kiosk,Window,22,0
P335,F1759,285.36,Leisure,Economy,0,Airport Kiosk,Window,103,0
P336,F351,341.33,Emergency,Premium Economy,1,Mobile App,Middle,43,0
P337,F820,411.42,Family,Business,2,Mobile App,Aisle,82,0
P338,F1413,409.25,Family,Economy,0,Mobile App,Window,39,0
P339,F620,363.93,Family,Economy,2,Desk,Middle,14,0
P340,F1153,256.83,Business,Economy,2,Mobile App,Aisle,20,0
P341,F1128,295.51,Emergency,Economy,2,Online,Middle,24,0
P342,F1152,448.78,Emergency,Premium Economy,2,Desk,Window,69,0
P343,F677,446.82,Emergency,Economy,0,Desk,Window,44,0
P344,F410,273.54,Business,Premium Economy,1,Online,Aisle,39,0
P345,F1694,485.7,Business,Economy,1,Airport Kiosk,Aisle,30,0
P346,F1419,543.03,Emergency,Premium Economy,1,Online,Middle,72,0
P347,F762,402.46,Leisure,Economy,2,Online,Window,81,0
P348,F33,270.07,Leisure,Economy,3,Desk,Aisle,103,0
P349,F831,477.33,Leisure,Economy,3,Online,Window,64,0
P350,F931,269.68,Leisure,Economy,1,Airport Kiosk,Window,48,0
P351,F1561,481.95,Family,Economy,0,Online,Window,5,0
P352,F72,330.45,Leisure,Economy,2,Mobile App,Aisle,47,0
P353,F16,239.24,Family,Economy,0,Desk,Middle,98,1
P354,F538,397.99,Leisure,First,0,Online,Aisle,60,0
P355,F670,487.29,Family,Business,1,Mobile App,Middle,27,0
P356,F1951,295.83,Emergency,Business,0,Airport Kiosk,Aisle,66,0
P357,F1884,349.33,Family,Premium Economy,0,Airport Kiosk,Window,106,0
P358,F1845,246.57,Business,Economy,2,Mobile App,Middle,61,0
P359,F179,273.99,Leisure,Economy,0,Desk,Aisle,49,0
P360,F882,426.36,Family,Premium Economy,3,Desk,Window,65,0
P361,F1892,373.31,Business,Premium Economy,1,Airport Kiosk,Aisle,92,0
P362,F224,266.73,Emergency,Business,2,Desk,Middle,102,0
P363,F892,295.51,Family,Economy,3,Desk,Aisle,7,0
P364,F1184,372.85,Leisure,Premium Economy,1,Mobile App,Aisle,36,0
P365,F1609,339.91,Leisure,Premium Economy,1,Mobile App,Window,16,0
P366,F1458,380.21,Business,Economy,1,Airport Kiosk,Aisle,98,0
P367,F1114,425.43,Family,Economy,0,Online,Window,65,1
P368,F1549,308.54,Emergency,Economy,0,Mobile App,Aisle,46,0
P369,F1618,395.81,Business,Economy,2,Airport Kiosk,Middle,21,0
P370,F288,346.11,Emergency,Economy,2,Airport Kiosk,Middle,31,0
P371,F850,443.05,Leisure,Business,0,Airport Kiosk,Window,0,0
P372,F896,358.21,Family,Business,1,Online,Aisle,68,0
P373,F1621,276.67,Business,Economy,0,Desk,Aisle,113,0
P374,F397,310.42,Family,Premium Economy,2,Airport Kiosk,Middle,25,0
P375,F13,341.7,Family,Economy,2,Airport Kiosk,Aisle,15,0
P376,F97,401.19,Emergency,Economy,1,Mobile App,Window,110,0
P377,F1250,340.7,Leisure,Business,4,Online,Aisle,71,0
P378,F929,284.06,Emergency,Economy,3,Desk,Middle,25,0
P379,F772,310.77,Emergency,Premium Economy,2,Desk,Middle,117,0
P380,F245,293.63,Leisure,Economy,1,Mobile App,Middle,19,0
P381,F1726,437.31,Leisure,Premium Economy,1,Airport Kiosk,Middle,0,0
P382,F981,335.42,Business,Premium Economy,1,Mobile App,Middle,98,0
P383,F1964,383.47,Leisure,Business,0,Mobile App,Window,102,0
P384,F1135,490.28,Leisure,Economy,1,Mobile App,Aisle,85,0
P385,F453,316.76,Business,First,2,Mobile App,Aisle,14,0
P386,F345,593.93,Emergency,Business,2,Desk,Middle,29,0
P387,F230,451.64,Business,Economy,1,Online,Middle,98,0
P388,F1078,302.31,Business,Business,1,Online,Aisle,85,0
P389,F1892,340.2,Emergency,Economy,1,Desk,Middle,95,0
P390,F975,373.56,Business,Business,2,Online,Window,50,0
P391,F159,231.38,Emergency,Economy,0,Online,Aisle,28,0
P392,F1106,488.78,Business,First,2,Online,Aisle,71,0
P393,F1531,395.35,Emergency,First,0,Desk,Middle,75,0
P394,F21,264.48,Emergency,Economy,0,Online,Window,43,1
P395,F1464,405.88,Family,Premium Economy,2,Airport Kiosk,Window,108,0
P396,F735,537.88,Family,Business,2,Airport Kiosk,Window,62,0
P397,F875,315.78,Business,Economy,0,Airport Kiosk,Window,1,0
P398,F1031,310.36,Emergency,Economy,2,Airport Kiosk,Window,81,0
P399,F848,356.22,Leisure,Economy,0,Airport Kiosk,Aisle,22,0
P400,F1032,348.53,Family,Business,0,Mobile App,Middle,1,0
P401,F1335,255.96,Family,First,0,Online,Aisle,48,0
P402,F1806,228.55,Emergency,Economy,0,Online,Middle,49,0
